Schools,LAT,LON,ALT,Context,label,score,label_numeric
College Cévenol,45.06096,4.303929,961,"occupied there.  They were able to make furniture.  We had 
obtained the necessary machines that were set up in an old garage.  Even 
students at the College Cévenol came for handiwork courses and it was 
thus a highly significant expansion.  It also was useful for us because 
Studio Cévenol made different kinds o",joy,0.4430106580257416,3
College Cévenol,45.06096,4.303929,961," That was the situation. 

Now in 1942, the persecutions began, and we experienced them as well.  
There was a demonstration by the students from the College Cévenol 
against the French Youth Minister, (Georges) Lamirand, who had come to 
Le Chambon-sur-Lignon on August 15.  They handed him a protest letter and 
t",disgust,0.5468535423278809,1
Collège Cévenol,45.06096,4.303929,961," village was going to be so, quote, heroic. But it was a very 
pretty area, and in fact, it was, it had a Quaker influence because it 
had a college, Collège Cévenol, where American Quakers went to teach 
before the war. So there was contact between the community, some members 
of that Protestant community and the",neutral,0.6232717633247375,4
Collège Cévenol,45.06096,4.303929,961,"
hidden there for about ten months. During that period, they also saw to 
it that our education was not completely neglected. There was a school, 
Le Collège Cévenol, which had been created as a private school before the 
war and they saw to it that we went to school every day and that we get 
on with our educatio",neutral,0.5055816769599915,4
Collège Cévenol,45.06096,4.303929,961,"ept of the time, at the time, and so 
I did not go. I had some French lessons by a Mademoiselle Hoefert, who 
was a refugee herself and taught at the Collège Cévenol. I believe she 
taught Latin, if I am not mistaken. And I had some French lessons from 
her, and eventually I did pick up the language. Mostly so bec",neutral,0.5194842219352722,4
Ferme École,45.055912,4.325135,1005,"r selves and could improve their living 
conditions.  The studio began in the fall of 1941, and then Le Faïdoli, 
and then in the spring of 1943, the Ferme École was opened.  The 
Agricultural school, or Ferme École, had eight cows, chickens, etc., and 
vegetables.  That was an additional way for the children'",joy,0.456998348,3
Ferme École,45.055912,4.325135,1005,"The studio began in the fall of 1941, and then Le Faïdoli, 
and then in the spring of 1943, the Ferme École was opened.  The 
Agricultural school, or Ferme École, had eight cows, chickens, etc., and 
vegetables.  That was an additional way for the children's home to get 
milk, eggs, and vegetables. That was ve",joy,0.49821752309799194,3
Ferme École,45.055912,4.325135,1005,"ned how to beautify the interior of a farm house.   
There were also specialized courses, allowing us to fulfill multiple 
purposes together with the Ferme École.  It's actually amazing, when I 
think back, that an aid organization would have given the guidance and 
the approval for this work.  It showed that ",surprise,0.330047071,6
Studio Cévenol,45.05893,4.301951,942,"the same time, a carpentry studio was set up 
together with Pastor Trocmé's College Cévenol.  There already was a 
College Cévenol and now we had the Studio Cévenol.  We could keep the 
young people occupied there.  They were able to make furniture.  We had 
obtained the necessary machines that were set up in an ",fear,0.4079740345478058,2
Studio Cévenol,45.05893,4.301951,942,"Even 
students at the College Cévenol came for handiwork courses and it was 
thus a highly significant expansion.  It also was useful for us because 
Studio Cévenol made different kinds of furniture for us, buffets, tables, 
which were especially needed, and so they accomplished two things at 
the same time.  On ",neutral,0.31294873356819153,4
