other_French_Locations,LAT,LON,ALT,Context,label,score,label_numeric
Camp Saint-Cyprien,42.63663,3.034213,2,"a lot 
of good for all these Jewish people, who were hidden for so many years. ﻿My name is Jack J Lewin. 

From there, we went to Camp de Gurs, no to Camp Saint-Cyprien, which was 
on the southern part of France, on the Mediterranean. My mother went to 
Gurs. My brother myself went to Saint-Cyprien. we stayed there f",fear,0.3850288391113281,2
Drancy,48.92583,2.44528,47," in upper grades. 
This idyll didn't last too long, because already in July the French 
started collecting all the Jews for deportation to the either Drancy or 
to the east. And we were affected in Chambon-sur-Lignon. 
Now I have described the happenings from then, and my first flight to 
Switzerland over",fear,0.8643801808357239,2
Drancy,48.92583,2.44528,47,"had been arrested at that 
time? 
Well, I guess. Oh, yes. We knew that it was critical, because at that time we 
knew already that my parents went to Drancy, and from Drancy to Auschwitz. 
We had known, because one of the girls who came out of Gurs with me, she went 
to visit her mother and saw my parents",fear,0.7694254517555237,2
Drancy,48.92583,2.44528,47," at that 
time? 
Well, I guess. Oh, yes. We knew that it was critical, because at that time we 
knew already that my parents went to Drancy, and from Drancy to Auschwitz. 
We had known, because one of the girls who came out of Gurs with me, she went 
to visit her mother and saw my parents on the, in the, ",fear,0.7984091639518738,2
Drancy,48.92583,2.44528,47,"own, because one of the girls who came out of Gurs with me, she went 
to visit her mother and saw my parents on the, in the, going onto the train to 
Drancy. 
Well, I cried. And I, I was besides myself. To lose my parents, that's, well, 
I didn't say, I wouldn't say lose. I, I, I didn't think they would b",fear,0.5360461473464966,2
Gurs,43.27376,-0.74031,186," Victims came to their aid. The first 
home was opened by CIMAD and the Secours Suisse aux Enfants.  CIMAD was 
able to liberate 16 young people from Gurs and they came to Le Chambon-sur-Lignon.  
Le Chambon-sur-Lignon had a college named Cévenol, and so 
the young people were able to carry on their stu",joy,0.7151553630828857,3
Gurs,43.27376,-0.74031,186,"ong well 
and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. 
His father [is] in [the French internment camp] Gurs. Later Mr. T. left for Vichy where 
he has [contacts] and his father was released in one week! 
Lucky! Lucky! 
Friday, January 22, 1943 
The UGIF now",joy,0.3058033883571625,3
Gurs,43.27376,-0.74031,186,"anged.  
 
I didn't know about their plans at all. One day, however, Mother Trocmé 
told me that they intended to have children come from the Camp de Gurs 
and that when they are in Le Chambon-sur-Lignon, they would want me to go 
there in, into the same house to help with the children because the 
chil",fear,0.6142648458480835,2
Gurs,43.27376,-0.74031,186,"ambon-sur-Lignon during the summer. 
Right?  And then when the school started, I moved to La Guespy. And when 
I came to La Guespy, the children from Gurs were, had already arrived, I 
think a day or 2 before. And there was a room for the girls and a room 
for the boys. Was very, very small. Very small ",fear,0.6606594920158386,2
Gurs,43.27376,-0.74031,186,"did not 
understand where they were. They knew they were somewhere in France 
without their parents. They had come from Germany. They had arrived in 
Gurs in, in the camp. They, they had been transported from Gurs to 
Le Chambon-sur-Lignon. And, and they had no idea where they were and what 
they were t",fear,0.7280051708221436,2
Gurs,43.27376,-0.74031,186,"mewhere in France 
without their parents. They had come from Germany. They had arrived in 
Gurs in, in the camp. They, they had been transported from Gurs to 
Le Chambon-sur-Lignon. And, and they had no idea where they were and what 
they were there for. So, you, you had to, to hold their hands. That's ",fear,0.6551843881607056,2
Gurs,43.27376,-0.74031,186,"lse. The children were very disturbed and they were 
treated as a bunch and not as individuals. They were not, they were the 
children that came from Gurs, but that wasn't so. Each child had a 
different individual story, and nobody listened to them. So what I really 
did is I, I helped them tell me the",disgust,0.5283921360969543,1
Gurs,43.27376,-0.74031,186," like my parents agreed, these parents 
agreed too. So he had a whole lot of children that had come from the 
French concentration camps, mostly from Gurs, and he took them to Le 
Chambon-sur-Lignon. And so he opened up a house which was called La Guespy, and he 
put these children there, boys, girls, s",anger,0.276431143,0
Gurs,43.27376,-0.74031,186,"hambon-sur-Lignon, France 
I'm in Le Chambon-sur-Lignon. It's way up on a high plateau in the mountains. It's beautiful 
here. What a difference from Gurs! I'm staying at La Guespy, which is a home for refugee kids 
like me. Lots of the kids are Jewish, but not all of them. Hanne and the others I came w",fear,0.37481531500816345,2
Gurs,43.27376,-0.74031,186,"nds me of Mutter.
Age 17, September 1942, Le Chambon-sur-Lignon, France 
Mutter and Vater are gone. They took everyone away. Hanne just got back from Gurs. She got 
permission to go there to visit her mother. When she got there, they were deporting everyone. 
We don't know where they are taking them. So",fear,0.5906867384910583,2
Gurs,43.27376,-0.74031,186,"hey are taking them. Somewhere in Germany or Poland. For the first 
time, I broke down. We're all consoling each other, the seven of us who came from Gurs 
together, and my brother. All our parents were there. Hanne said she saw her mother for an hour 
that morning through the fence, and then they put t",joy,0.36053532361984253,3
Gurs,43.27376,-0.74031,186,"at we got. We didn't go hungry, that's for sure.  The farmers were 
very good to the Jews there. 
﻿Well, this comes, the, in, in the camp, in Camp de Gurs, it was, it 
didn't really matter. So in, sometime in September of 1942, a woman came 
to see my parents. We visited, my mother came over to visit us",neutral,0.287490577,4
Gurs,43.27376,-0.74031,186,"must have been about 300, 400 acres of land. 
And she had tremendous apple orchards in her garden. And so she invited us 
down, us seven from Camp de Gurs, and to pick apples. It was around apple 
picking time. And she told us, I still see her there in front of us. She 
says, children, you cannot eat th",disgust,0.29407691955566406,1
Gurs,43.27376,-0.74031,186,", we 
all packed up and went, and all took a big bag of potatoes and carried them 
to his house. 
But I always have to say, when I got out of Camp de Gurs, into this village, 
I only weighed about 80, 90 pounds. And I was really skinny. I was like a 
string bean. But anyhow, then in, then they started a",fear,0.2998889088630676,2
Gurs,43.27376,-0.74031,186," and I, brother 
and I, who also came to Le Chambon-sur-Lignon, after a short while, and we worked there. 
And also, I tried to get my parents out of Gurs at that time. 
Well, I had, I had, I knew, I know, knew quite a few people, including some 
people who were with the Vichy regime. And they knew I wa",fear,0.45999976992607117,2
Gurs,43.27376,-0.74031,186,"e at that time we 
knew already that my parents went to Drancy, and from Drancy to Auschwitz. 
We had known, because one of the girls who came out of Gurs with me, she went 
to visit her mother and saw my parents on the, in the, going onto the train to 
Drancy. 
Well, I cried. And I, I was besides mysel",fear,0.6080881357192993,2
Gurs,43.27376,-0.74031,186,"me. And, so I 
said, here I am. And they said, well, you're too young. You go. Then they called 
my brother's name out. They took him back to Camp de Gurs. 
But meanwhile, and some other names were called. And some of them were half 
Jewish. Some of them were non-Jewish. And so it was myself and one hal",neutral,0.45218467712402344,4
Gurs,43.27376,-0.74031,186,"s a film 
that has been made by Pierre Sauvage named Weapons of the Spirit. 
This is the picture where the seven of us children who came from Camp de Gurs to 
Le Chambon-sur-Lignon. This is also at the home of the Swiss Red Cross. We were, this was 
haven for us, because they got us out of Camp de Gurs.",joy,0.4380946755409241,3
Gurs,43.27376,-0.74031,186," Gurs to 
Le Chambon-sur-Lignon. This is also at the home of the Swiss Red Cross. We were, this was 
haven for us, because they got us out of Camp de Gurs. The lady in the middle is 
Mademoiselle Usach who was the directress of the home. She was a Spanish citizen at 
the time. And she's the one, she cam",neutral,0.8118385672569275,4
Gurs,43.27376,-0.74031,186,"e. They did a lot 
of good for all these Jewish people, who were hidden for so many years. ﻿My name is Jack J Lewin. 

From there, we went to Camp de Gurs, no to Camp Saint-Cyprien, which was 
on the southern part of France, on the Mediterranean. My mother went to 
Gurs. My brother myself went to Saint-",fear,0.49531054496765137,2
Gurs,43.27376,-0.74031,186," 

From there, we went to Camp de Gurs, no to Camp Saint-Cyprien, which was 
on the southern part of France, on the Mediterranean. My mother went to 
Gurs. My brother myself went to Saint-Cyprien. we stayed there for about 
six to eight months. I don't recall the exact time, and then we were all 
shippe",fear,0.6379796862602234,2
Gurs,43.27376,-0.74031,186,"myself went to Saint-Cyprien. we stayed there for about 
six to eight months. I don't recall the exact time, and then we were all 
shipped to Camp de Gurs, which was an internment camp during the Spanish 
Civil War, for Spaniards, for Spanish refugees, and then all the Jewish 
people from Palatinate and",fear,0.4859273135662079,2
Gurs,43.27376,-0.74031,186,"War, for Spaniards, for Spanish refugees, and then all the Jewish 
people from Palatinate and Baden came from Germany and were deported into 
Camp de Gurs. In Camp de Gurs, I stayed approximately 10, 11 months, I 
don't recall, and a lady came to ask my parents at the time if they would 
like to send a ",fear,0.552167535,2
Gurs,43.27376,-0.74031,186,"s, for Spanish refugees, and then all the Jewish 
people from Palatinate and Baden came from Germany and were deported into 
Camp de Gurs. In Camp de Gurs, I stayed approximately 10, 11 months, I 
don't recall, and a lady came to ask my parents at the time if they would 
like to send a child to a little",fear,0.5609733462333679,2
Gurs,43.27376,-0.74031,186,"on, Le Chambon-sur-Lignon in the Haute-Loire. And my parents 
naturally said yes, and they consulted with me, and I wanted to go. This 
camp, Camp de Gurs, was, this was very bad. We had, we didn't have enough 
food. At the beginning, it was under the control of the French. But then 
when Germany occupi",fear,0.3325526714324951,2
Gurs,43.27376,-0.74031,186,"was, well, Pastor Trocme and Dr. Le Forestier followed the bus. I was 
detained by the Germans and French in a caserne.  I was to be shipped 
back to Gurs. Pastor Trocme followed in the car of Dr. Le Forestier. He 
followed the bus, and he pleaded for us with the authorities, to let us, 
to set us free.",fear,0.8316293954849243,2
Gurs,43.27376,-0.74031,186,"Forestier's car. He went, he 
followed the bus and tried to, plead to get the people out. He couldn't 
get anybody else out. The rest of them went to Gurs or somewhere else, 
which I don't know. My brother went back to Gurs, and he escaped from 
Gurs again. But most of them went to, I believe, was to Ma",neutral,0.41235703229904175,4
Gurs,43.27376,-0.74031,186," get the people out. He couldn't 
get anybody else out. The rest of them went to Gurs or somewhere else, 
which I don't know. My brother went back to Gurs, and he escaped from 
Gurs again. But most of them went to, I believe, was to Majdanek. Yes. 
Daniel Trocme was taken at the same time. No, he could ",neutral,0.5152356028556824,4
Gurs,43.27376,-0.74031,186,"ldn't 
get anybody else out. The rest of them went to Gurs or somewhere else, 
which I don't know. My brother went back to Gurs, and he escaped from 
Gurs again. But most of them went to, I believe, was to Majdanek. Yes. 
Daniel Trocme was taken at the same time. No, he could not get Daniel 
Trocme out.",fear,0.4454611837863922,2
Gurs,43.27376,-0.74031,186,"re. The group 
was all Jewish, and Trocme was the only non Jew, so he ended up the same 
fate as all the, as all the others.

My brother escaped from Gurs. Well, he was, while the Germans were trying 
to round up all the people, and he heard his name being called. He was 
hiding under the chassis of a t",anger,0.6960552334785461,0
Gurs,43.27376,-0.74031,186,"e surrounding villages, what they did in comparison to 
others. It is enormous. 
 
When I came back to Le Chambon-sur-Lignon from seeing my mother in Gurs, 
I told some of his friends who were in a American funded student home, 
and told them, told my friends that we had no longer any parents, that 
the",fear,0.5659277439117432,2
Gurs,43.27376,-0.74031,186,"ow, she's 
suffered really psychological damages to this day. Well, there is 
Elizabeth Koenig, nee Kauffman, she was with us. She did not come from 
Gurs, but she came to us in Le Chambon-sur-Lignon. There is Wiltrud 
Lavell, nee Eanee. There is Jack Lewin. There is Rudy Appel, who was not 
originally ",sadness,0.4409622848033905,5
Gurs,43.27376,-0.74031,186," she came to us in Le Chambon-sur-Lignon. There is Wiltrud 
Lavell, nee Eanee. There is Jack Lewin. There is Rudy Appel, who was not 
originally from Gurs, but came from Rivesaltes. The Atlas boys.  

I had made up my mind after I saw my mother being deported that I was not 
going to stay in France, no ",fear,0.5231650471687317,2
Gurs,43.27376,-0.74031,186,"nd with de Gaulle. And from what 
I understand, Hanne was asked, ""Can we trust him?"" So she explained 
that, ""Yeah, he is my boyfriend, he comes from Gurs like I did,"" and they 
put me up for the next night in the villa. People were very nice, they 
fed me. And the following evening, I was taken to a fa",fear,0.42783892154693604,2
Gurs,43.27376,-0.74031,186,"n. We had there children 
with TB and children who were in danger of getting TB and I worked there 
for several months until, in fact, I went down to Gurs to see my mother. 
The object was to make a little money. In the bargain, I learned French.  
 
Well,  I  sort  of  helped  taking  care  of  the oth",fear,0.8437672853469849,2
Gurs,43.27376,-0.74031,186,"k to the village. The 
razzias had stopped for the moment and it also helped me to make up my 
mind. Even before that actually, when I came back from Gurs after I saw 
my mother that as safe as Le Chambon-sur-Lignon is, we need to get out. 
We need to get out of the country. And I told my friends and I ",fear,0.7833271622657776,2
Gurs,43.27376,-0.74031,186,"at me like I had lost my mind. And I said, ""No. We cannot 
stay. No matter what, we cannot stay.""  And so eventually, I did. 
 
When I came back from Gurs and the short stop I made to see my then 
boyfriend obviously  having  seen  my  mother  deported  and  the  last  
thing  I  saw  of  her  was  a  w",sadness,0.3718499541282654,5
Gurs,43.27376,-0.74031,186," 
Jacobavich, Jacobovsky? The two of them came. What happened there is 
really is in Le Chambon-sur-Lignon, the seven of us who originally came 
from Gurs we were seven young people who left Gurs together, had decided, 
said we cannot, with the danger that it was, stay in the house where we 
lived. Said",fear,0.7845119833946228,2
Gurs,43.27376,-0.74031,186," came. What happened there is 
really is in Le Chambon-sur-Lignon, the seven of us who originally came 
from Gurs we were seven young people who left Gurs together, had decided, 
said we cannot, with the danger that it was, stay in the house where we 
lived. Said we wanted to go into the other house tha",fear,0.8928555250167847,2
Gurs,43.27376,-0.74031,186,"roject was stopped, because two of them disappeared, two boys, two 
twins. Joseph and Victor Atlas disappeared.

So, the whole bunch was remaining to Gurs. A few days afterwards, perhaps 
I don't remember how much, perhaps seven or eight days afterwards, those 
two boys came back, because they could not",neutral,0.3721933364868164,4
Gurs,43.27376,-0.74031,186,"And in the camp, she got acquainted with another boy, a boy who came also 
from Germany, and who was taken because he was a Jew. And there he was in 
Gurs, and both made a friendship together. His name was Max Liebmann.

And they talked as many times as they could, and they liked each other. 
All at onc",disgust,0.5093011856079102,1
Gurs,43.27376,-0.74031,186,"together. His name was Max Liebmann.

And they talked as many times as they could, and they liked each other. 
All at once, Hanne had to go away from Gurs, and Max was remaining there. 
But Max had the hope to go in a Jewish house that was a kind of place 
where some Jewish boys could be hidden, and the",neutral,0.3690178096294403,4
Gurs,43.27376,-0.74031,186,"ely, not as soon as Hanne. And Hanne came to 
Le Chambon-sur-Lignon, and she corresponded with Max. One day she heard that the 
people of the camp of Gurs were moving, and they were taken to Germany 
again.

This meant destruction, this meant Auschwitz and all the other terrible 
camps. So she asked per",fear,0.7084257006645203,2
Gurs,43.27376,-0.74031,186,"s meant Auschwitz and all the other terrible 
camps. So she asked permission to go and say goodbye to her mother, and 
she left, and she went down to Gurs. And she arrived just in time to see 
the people go.

She could not touch her mother. She saw her on the other side of a gate, 
and she saw her go aw",fear,0.8670856356620789,2
Gurs,43.27376,-0.74031,186,"as a Jew, but he was not a religious 
Jew.

And those rabbis wanted him to go to the Jewish services. And he and one 
of his friends, who came out of Gurs, refused. They said they were a Jew, 
but didn't have the Jew religion.

And then, a few weeks afterwards that Hanne had been there, they were 
sent ",anger,0.6950811147689819,0
Le Puy,45.04366,3.88523,640,".  Although they weren't on the list, they 
(the officials) were mistrustful and wanted to take the papers with them.  
""We can check this further in Le Puy (that is, at department 
headquarters)."" 

I resisted and talked with them for half an hour.  I also carefully 
threatened them to some extent since ",fear,0.9137376546859741,2
Le Puy,45.04366,3.88523,640," the 72 refugees was taken away.  On the first day, they had us 
under surveillance in La Guespy (one of the homes).  They had taken Mr. 
Steckler to Le Puy, but on the second day, I was able to free him in Le 
Puy and take him back to Le Chambon-sur-Lignon.  That was a victory for 
us, for all who had st",joy,0.280076802,3
Le Puy,45.04366,3.88523,640," L'Abric home and we often had contact with him.  He 
was something of an optimist and was perhaps not always careful enough.  
One time, he drove to Le Puy and had taken two people with him.  It later 
turned out that these people were presumably from the Maquis, and at the 
entrance to Le Puy, there was",fear,0.6756893992424011,2
Le Puy,45.04366,3.88523,640,"e drove to Le Puy and had taken two people with him.  It later 
turned out that these people were presumably from the Maquis, and at the 
entrance to Le Puy, there was a police control.  They (the passengers) 
left the car and let him drive farther alone.  But at the control, a 
revolver was found in the ",fear,0.7950491905212402,2
Le Puy,45.04366,3.88523,640,"rol, a 
revolver was found in the car, and the doctor was arrested.  We 
considered several options to get him free, and finally decided to drive 
to Le Puy since Trocmé, Dr. Forestier's wife, and I wanted to achieve 
something with the German occupation troops.    

I was taken along as a German speaker ",anger,0.4611496925354004,0
Le Puy,45.04366,3.88523,640,"th her husband, and then we all returned 
to Le Chambon-sur-Lignon.  That was shortly, I know it was a week or ten 
days, before the liberation.    

Le Puy was liberated on August 19, 1944, and just before and shortly 
thereafter, I'm not exactly sure, the prisoners were sent north. We later 
learned tha",fear,0.4575546383857727,2
Le Puy,45.04366,3.88523,640,"of chocolate. Then he turned 
and left. I don't even know him, but he gave me his chocolate! 
They're starting the bus. They say they're taking us to Le Puy, which is where the Nazis are. I'm 
scared.
Age 17, February 1943, Le Puy-en-Velay, France 
The gendarmes have interrogated me and so have the German",fear,0.948082447,2
Le Puy,45.04366,3.88523,640," me his chocolate! 
They're starting the bus. They say they're taking us to Le Puy, which is where the Nazis are. I'm 
scared.
Age 17, February 1943, Le Puy-en-Velay, France 
The gendarmes have interrogated me and so have the Germans. I'm really lucky. For some 
reason, they've decided to let me go. But n",fear,0.970937967,2
Le Puy,45.04366,3.88523,640,", the police made the people get up from 
the ground. And the bus took off and went to the capital of the department, which 
is like a state here, of Le Puy. But meanwhile, as our bus was leaving, the 
pastor and the doctor of the village, Pastor Trocme and Dr. Le Forestier, 
followed the bus. And they, w",fear,0.551020622,2
Le Puy,45.04366,3.88523,640,"led by the Swiss 
Red Cross. And in 1943 my brother, myself, we were arrested with many 
others and sent to a, to the department's capital, which was Le Puy.  
Many, most of, I was the only one coming back at the time. How I got back 
was, well, Pastor Trocme and Dr. Le Forestier followed the bus. I was 
",fear,0.9105493426322937,2
Le Puy,45.04366,3.88523,640,"tholic Church. 
﻿My name is Fanny Pariente Yankelevich.

So I wanted to see my mother, but we got in touch with, with the WIZO, 
and I couldn't go to Le Puy yet because the visa took me to another 
place, Mont. It was a school, and I didn't want to stay there. I 
complained I wanted to see my mother. 

So",sadness,0.7033988833427429,5
Le Puy,45.04366,3.88523,640,"er 
place, Mont. It was a school, and I didn't want to stay there. I 
complained I wanted to see my mother. 

So after a month or so, they took me to Le Puy, preparing me to go to 
some other place. And in Le Puy, I went to see a bishop, Monsignor 
Martin. He made papers for me so I could get the rent fro",fear,0.6386132836341858,2
Le Puy,45.04366,3.88523,640,"tay there. I 
complained I wanted to see my mother. 

So after a month or so, they took me to Le Puy, preparing me to go to 
some other place. And in Le Puy, I went to see a bishop, Monsignor 
Martin. He made papers for me so I could get the rent from the German, he 
helped me a lot. And I went to see him",fear,0.5630196928977966,2
Le Puy,45.04366,3.88523,640,"d he said to me, 
if this is not the way to gain souls to God, I'll give you to some other 
place. And he, he was, he got in touch with the police in Le Puy, they 
made false papers for me, Fannie Janton, and he took me to a place where 
everybody was Protestant. I don't know how you say it in English, 
P",neutral,0.37439677119255066,4
Le Puy,45.04366,3.88523,640,"him to escape. It was Jean Sobel. 
He was Belgic, Belgium. And the parents came, and the WIZO came, and 
first they took me back from Les Grillons to Le Puy, because they didn't 
have a place for me yet. And as I arrived to Le Puy, I had the pleasure 
to see my brother. My brother was there. He came down ",fear,0.7095304727554321,2
Le Puy,45.04366,3.88523,640," came, and the WIZO came, and 
first they took me back from Les Grillons to Le Puy, because they didn't 
have a place for me yet. And as I arrived to Le Puy, I had the pleasure 
to see my brother. My brother was there. He came down to see my mother, 
because we all wanted to see our parents, and so he mus",joy,0.41999199986457825,3
Le Puy,45.04366,3.88523,640," brother. My brother was there. He came down to see my mother, 
because we all wanted to see our parents, and so he must have asked, he 
came down to Le Puy, but I still couldn't stay in Le Puy because they 
were always looking for me. I escaped, and they were always looking for 
me.

I was treated very w",anger,0.3502885699272156,0
Le Puy,45.04366,3.88523,640,"me down to see my mother, 
because we all wanted to see our parents, and so he must have asked, he 
came down to Le Puy, but I still couldn't stay in Le Puy because they 
were always looking for me. I escaped, and they were always looking for 
me.

I was treated very well. Very, very well. Though, my brot",sadness,0.35141322016716003,5
Le Puy,45.04366,3.88523,640,"was warned personally.

He was arrested, certainly, once. He was arrested by the, the local 
police. I mean, the, the main town in our area is called Le Puy, where 
there was a German officer who was in charge of the area where there was 
a fresh French prefect who, as French prefect, employee of the 
gov",fear,0.545908511,2
Le Puy,45.04366,3.88523,640," on, I 
don't think they, that they squealed on what was going on, but they 
didn't need to squeal. People knew. The whole area knew. The prefect in 
Le Puy knew.  Commander Schmahling, who was a German commander, knew. 
Commander Schmahling, he didn't do much about it. This is, again, 
something that is ",neutral,0.37787002325057983,4
Le Puy,45.04366,3.88523,640," one successful raid that took place in Le Chambon-sur-Lignon. 
Usually when there was going to be some kind of a raid, it was a raid 
that came from Le Puy and somehow the police, you know, the Tom Tom of 
the jungle, would warn.  There was some phone call, or somebody would 
call the town hall, or someb",fear,0.948470414,2
Le Puy,45.04366,3.88523,640,"and it would be safer for people to vanish in the woods. Which 
they did. One raid took place towards the end of the war, which did not 
come through Le Puy, I don't believe. It was really an SS raid, and they 
arrived unannounced. And they arrived straight at the House of the Rocks, 
which was the second",fear,0.5885888934135437,2
Le Puy-en-Velay,45.04366,3.88523,640," me his chocolate! 
They're starting the bus. They say they're taking us to Le Puy, which is where the Nazis are. I'm 
scared.
Age 17, February 1943, Le Puy-en-Velay, France 
The gendarmes have interrogated me and so have the Germans. I'm really lucky. For some 
reason, they've decided to let me go. But not Martin",fear,0.9644623398780823,2
Lyon,45.74846,4.84671,173,"e were cold, and hungry, and 
lacking affection, but we had each other.

And with this little girl, there was this little redhead. She had come 
from Lyon. There was also a, you know, nice thing.

So after school, we used to then come home, and go keep the cows and the 
goats in the fields. And walk in ",disgust,0.40617159,1
Lyon,45.74846,4.84671,173,"9, 1944, and just before and shortly 
thereafter, I'm not exactly sure, the prisoners were sent north. We later 
learned that he never made it beyond Lyon, and that there he was in 
Barbie's (Klaus Barbie, the ""butcher"" of Lyon) regime, and I strongly 
suspect that he too was this man's victim.  He died",fear,0.3930909335613251,2
Lyon,45.74846,4.84671,173,"he prisoners were sent north. We later 
learned that he never made it beyond Lyon, and that there he was in 
Barbie's (Klaus Barbie, the ""butcher"" of Lyon) regime, and I strongly 
suspect that he too was this man's victim.  He died there, and that is 
the story of Dr. Forestier.  I happened to be there ",fear,0.36304476857185364,2
Lyon,45.74846,4.84671,173,"his I, I started school in September and in November, I got a letter 
from my father saying, ""Drop everything. We have an American visa. And 
come to Lyon tomorrow.""  And that was it. I, I was flabbergasted. I was 
torn. I felt I am betraying my little comrades. I was leaving them at the 
peak. I, I had",anger,0.48982998728752136,0
Lyon,45.74846,4.84671,173," torn to go, but I mean I could not leave my father's letter 
unanswered and he had already, of course, left his village, so he 
expected me to be in Lyon. And so I prepared to leave. And when I 
prepared to leave, the children took me to the railroad station and it 
started snowing and the children wen",fear,0.7530561089515686,2
