toponym,resolved_name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
France,France,46.603354,1.888334,neutral,0.5,"At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there.",404,4
Gurs,Gurs internment camp,43.318333,-0.777222,sadness,0.91,"I found an Austrian with whom I get along well 
and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. 
His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where 
he has [contacts] and his father was released in one week! 
Lucky! Lucky! 
Friday, January 22, 1943 
The UGIF now sends me three hundred francs every month.",332,5
Vichy,Vichy,46.1287,3.4264,neutral,0.76,"His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where 
he has [contacts] and his father was released in one week! 
Lucky! Lucky! 
Friday, January 22, 1943 
The UGIF now sends me three hundred francs every month. Mr. T. however takes them. 
Sunday, January 31, 1943 
Again another month begins and I am still without news from you.",332,4
Lavoulte bridge,Le Pouzin–La Voulte-sur-Rhône bridge,44.80057,4.77328,neutral,0.74,"I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there. Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night.",410,4
Austria,Austria,47.516231,14.550072,neutral,0.59,I go to school. Often think of you. I found an Austrian with whom I get along well and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.,247,4
Paris,Paris,48.8566,2.3522,neutral,0.7,"I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there. Mr. Trocmé came on his bicycle to meet me.",352,4
Marseilles,Marseilles,43.296482,5.36978,neutral,0.72,"We were told that we'll have to get out in two or three days. When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m.",335,4
Poland,Poland,51.919438,19.145136,neutral,0.63,"which was the home for students from all 
countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older. 
There were all denominations. And we were supposed to be able to 
continue to some extent the studies, to the extent that the faculty was 
available. And we did indeed attend school.",323,4
Russia,Russia,61.52401,105.318756,neutral,0.79,"which was the home for students from all 
countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older. 
There were all denominations. And we were supposed to be able to 
continue to some extent the studies, to the extent that the faculty was 
available. And we did indeed attend school.",272,4
Les Caillols,Les Caillols,43.2956,5.4439,neutral,0.78,"Tuesday, January 5, 1943 [Les Caillols] 
Mrs. Brémond (they got married) wrote a letter to Mr. Trocmé in 
which she asked him if he did not have an opening for me at his place. I had 
asked her to allow me to go to school. She gave this letter to a young girl, Simone 
Fullenbaum, who  lived  previously  at  Les  Caillols  and  now  lives  at  Les 
Grillons  with  Mr. Trocmé. I hope that I'll be able to go there. The food there is fit for 
kings (butter, potatoes, et cetera). Whatever is happening to you? Your son is 
thinking of you.",457,4
Drancy,Drancy,48.9247,2.4456,fear,0.95,"This idyll didn't last too long, because already in July the French started collecting all the Jews for deportation to the either Drancy or to the east. And we were affected in Chambon. Now I have described the happenings from then, and my first flight to Switzerland over the mountains in a diary, and the consequent return by Swiss soldiers the same day that we arrived in Switzerland to France, and the arrest by the French customs officials, and eventually police, and returned to result.",455,2
Switzerland,Switzerland,46.818188,8.227512,fear,0.94,"Now I have described the happenings from then, and my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple.",478,2
Alps,Alps,45.832622,6.865118,fear,0.92,"No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple. We were hidden for a while in 
Chambon, and surrounding with mostly Protestant farmers, or, you know, 
summer resident people. So it must have been summer, because it was summer 
residents were there.",340,2
Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,joy,0.91,"Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
went to sleep in the annex",512,3
Vallorcine,Vallorcine,46.0167,6.9333,fear,0.92,"And they brought us to the railway station in, whatever the place was. Vallorcine. Vallorcine was the station in the valley. And put us on a train. We were put into handcuffs and sent back to Rivesaltes. 
The amazing thing was that the word got through to Chambon-sur-Lignon that we are in Rivesaltes.",304,2
La Guespy,La Guespy,45.0629,4.3076,neutral,0.79,"I'm in Le Chambon-sur-Lignon. It's way up on a high plateau in the mountains. It's beautiful 
here. What a difference from Gurs! I'm staying at La Guespy, which is a home for refugee kids 
like me. Lots of the kids are Jewish, but not all of them. Hanne and the others I came with are all 
staying here, too. Monsieur Bohny is head of all three Swiss Aid homes for refugee kids in Le 
Chambon. The lady who is in charge of us here at La Guespy is named Mademoiselle Usach. 
She never smiles. What a grouch! None of us like her. 
So far I've learned a few words of French. I have a nice teacher. Most of us don't know French. 
A nice Austrian refugee named Elisabeth, who speaks perfect French, is helping us communicate 
with the people here. She's only",543,4
Swiss,Swiss Confederation (adjective relating to Switzerland),46.8182,8.2275,neutral,0.64,"and the consequent return by Swiss soldiers the same day that we arrived in Switzerland to France, and the arrest by the French customs officials, and eventually police, and returned to result. In 1941, in I think it was August. No. No. It was in November that we fled, to Switzerland. ",338,4
Perpignan,Perpignan,42.6976,2.8956,neutral,0.79,"But soon, unbelievable gesture of the French Vichy administration. They let us youngsters and a group of political prisoners go, just go, before the Germans occupied the camp. And we went to the railway station in Perpignan. And we were not bothered by the Germans. We made our way back to Chambon. And it was kind of risky on the train with the troops coming the other way, the German troops, and French police going the other way. But we made it to Le Chambon.",446,4
Saint-Etienne,"Saint-Étienne, Loire, France",45.4397,4.3872,neutral,0.81,"It was a little village up above Saint-Etienne, about 15 miles away. The head of that village was a famous pastor, a Protestant pastor by the name of Trocme. He and his wife and the children lived, of course, in the, in the, what do you call the house that belongs to the church, where they live? And there were 5,000 villager there. And somebody had heard that someone in that village would hide them. So all of a sudden, one Jewish family came there and went to the pastor. And he gave them to a family.",447,4
Chambon-sur-Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,fear,0.94,"Monday, February 1, 1943 So by late December, December 31, I was notified that I would be shipped 
off to another location. And I was put on a train. And on New Year's Eve, 
they explained to me that there would be fewer patrols and police out, 
checking people's, traveler's papers, identity papers. And I was told to 
get off at a place called Le Chambon-sur-Lignon. 
And I arrived at about 4 o'clock in the morning. 3:00, 3:00 or 4 o'clock 
in the morning. It was a bitter, cold night. And I was met there by a 
young man named Daniel Trocme, who then took me, and we had a very, very 
long walk through the night.",547,2
College Cevenol,Collège Cévenol,45.0611,4.3042,neutral,0.83,"I was sent to school, to a school that they had organized, which was called the College Cevenol. As a matter of fact, that school is a private school today that still, still is in existence. We, under the circumstance, and in retrospect, lived a fairly good life. There being villagers, we, I mean, farmers. Excuse me. We often, daily, some of us were sent into town to pick up food, vegetables, potatoes, things that were not readily available to, to the population at large. We were looked after and fed.",438,4
Rivesaltes,Rivesaltes,42.7992,2.8726,sadness,0.93,"And they brought us to the railway station in, whatever the place was. Vallorcine. Vallorcine was the station in the valley. And put us on a train. We were put into handcuffs and sent back to Rivesaltes. 
The amazing thing was that the word got through to Chambon-sur-Lignon that we are in Rivesaltes. And none other than, first, Tracy Strong came. And I gave him my shoes, which were in total shambles, which he took with him. And I had a pair of rubber boots. No, that was before. I'm mixing it up. It's in my book. And he promised to get us some help. Shortly thereafter, Madam came to the camp in, in Rivesaltes. She was the chief of the Cimade in France.",571,5
Swiss border,Swiss-French border,46.229,6.021,neutral,0.77,"preparations were made to get us false identity papers, to get us exit visa from France, to get us Swiss immigrant, immigration visas which we couldn't get on the spot, but we had to pick up in en masse in near the Swiss border on the French side. We managed to go by train unmolested to the Swiss border, this time without guide.",357,4
French,France,46.603354,1.888334,sadness,0.71,"I found an Austrian with whom I get along well 
and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. 
His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where 
he has [contacts] and his father was released in one week!",292,5
Europe,Europe,54.526,15.2551,sadness,0.88,"And it was the biggest tragedy of that time was to have those people who came from Eastern Europe and escaped to France. And France was the haven. I mean, they thought nothing could happen to them when they got to France. They didn't realize that they would be picked up there just as well as they could have been in Germany or in Hungary or in Romania or anywhere else.",382,5
Spain,Spain,40.0,-4.0,neutral,0.78,"which was the home for students from all 
countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older. 
There were all denominations. And we were supposed to be able to 
continue to some extent the studies, to the extent that the faculty was 
available. And we did indeed attend school.",329,4
Maison des Roches,"Maison des Roches, Le Chambon-sur-Lignon",45.0615,4.3007,joy,0.93,"I received, through, again, Tracy Strong, influence, documents of 
liberation to go to Chambon-sur-Lignon in the Haute-Loire, which was a, 
a center of mostly the remnants of the Huguenots, mostly Protestant 
population. And they had two homes for victims of war to be able to 
continue their studies. I was assigned to Maison des Roches. Amazingly, 
it was a ministerial decision. I have still the documents that conducted 
me to Chambon-sur-Lignon. 
In 1941. 
Yeah, must have been June, 19. 
Before. Must have been, no, it must have been April, April in 1941. 
In Chambon, we, or I, I should say, was welcomed in Maison des Roches, 
which means the house of rocks, which was the home for students from all 
countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older.",576,3
Auch,"Auch, Gers, France",43.646118,0.584367,neutral,0.81,"And in due time, I was given a 
French identity card with the name of Pierre Fesson. I kept my same birth 
date, but I was told that my place of birth was Auch, Gers, where I last 
lived with my parents. 
What kinds of contact, if any, did you ever have with either the 
resistance or with any of the, the groups that were attempting to fight 
the Germans from within France?",366,4
Le Puy,Le Puy-en-Velay,45.04366,3.88341,fear,0.98,"They say they're taking us to Le Puy, which is where the Nazis are. I'm 
scared.
Age 17, February 1943, LePuy-en-Velay, France 
The gendarmes have interrogated me and so have the Germans. I'm really lucky. For some 
reason, they've decided to let me go. But not Martin. There's nothing I can do.",261,2
Gers,,0.0,0.0,neutral,0.0,,0,4
Annecy,Annecy,45.899247,6.129384,neutral,0.84,"I'm not supposed to understand 
German, I'm supposed to be a French Boy Scout just sitting here on the train going to Annecy. 
So I'd better not laugh at their jokes, even though they're really funny. 
I left Le Chambon for Switzerland right after getting my false papers.",290,4
LePuy-en-Velay,Le Puy-en-Velay,45.04426,3.88539,fear,0.91,"They've gathered around the bus, singing ""Faut-il Nous Quitter Sans Espoir."" The song says they hope to see us again soon. Now they're lying on the ground around the bus. They're trying to stop the gendarmes from taking us away. A minute ago, a boy got on the bus and handed me a piece of chocolate. Then he turned and left. I don't even know him, but he gave me his chocolate! They're starting the bus. They say they're taking us to Le Puy, which is where the Nazis are. I'm scared. Age 17, February 1943, LePuy-en-Velay, France The gendarmes have interrogated me and so have the Germans. I'm really lucky. For some reason, they've decided to let me go.",577,2
Le Chambon sur Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.83,"When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
went to sleep in the annex (I only saw Mr. T.).",778,4
Valence,"Valence, Drôme, Auvergne-Rhône-Alpes, France",44.933393,4.89236,fear,0.93,"Jean-Pierre, Pastor Trocme's son, and Marco Darcissac, the son of the schoolmaster, took me by bicycle all the way down the mountains to Valence, seventy kilometers! I was scared stiff! I had never gone down such steep mountains before on a bike. They left me with a lady in Valence. She took me to her brother, who was a pastor. I stayed for the whole weekend, and I even went to church with them!",397,2
German,,0.0,0.0,neutral,0.0,,0,4
Alsace-Lorraine,Alsace-Lorraine,48.25,7.25,neutral,0.95,"He took the picture off my German identification card that had the big J for Jewish on it, and he put the photo on my new ID. He had to make sure that the swastika came off. My new name is Jacques Levet, and it says on my ID card that I was born in Alsace-Lorraine. That's close to the German border, so it might explain my German accent if I'm stopped.",354,4
Algiers,Algiers,36.752778,3.042222,joy,0.75,"Her husband is fighting the Germans with de Gaulle in Algiers. 
Maybe she can help me get out of France. 
I WENT TO MADAME PHILIP and I said, ""I would like to go to Algiers. I want to join de 
Gaulle. I want to fight."" But she said, ""No, you're going to Switzerland!"" 
Switzerland is a neutral country in the war, so Jews are safe from the Nazis there.",368,3
Camp de Gurs,Camp de Gurs,43.391667,-0.805556,neutral,0.6,"the camp, in Camp de Gurs, it was, it didn't really matter. So in, sometime in September of 1942, a woman came to see my parents. We visited, my mother came over to visit us. And we were told that somebody is coming from the OSE. I don't know if you heard about the OSE, which is Oeuvre de Secour aux Enfants. And she asked several people if they would like to send that, one of their children, if the child is young enough, to send them somewhere where they would be safe. And my mother and father said, I think we should. And I said I don't want to go out without my brother. And they said, oh, no. You gonna go. So",519,4
Massif Central,Massif Central,45.5,3.0,neutral,0.64,"I discovered later, especially after the war, many years 
after the war, that Le Chambon was a most unique village in France. 
It is located at about 3,000 feet elevation in the Massif Central, in the 
central mountain chain in France. Sort of isolated on a desolate plateau, 
very cold in the winter, windswept plateau. Agriculture was pretty 
rudimentary. 
But what made this village unusual was that in the country, that is 90% 
or 95% Catholic, this village was about 90% Protestant. And the 
villagers, under the leadership of their pastor, Andre Trocme, were 
inspired to live the Bible.",475,4
"Vichy, France","Vichy, France",46.1287,3.4264,joy,0.92,"So I was in,  we, so we got to this home from the Swiss Red Cross. And we, it was a very small house up in the Massif Central, in [FRENCH]. And we were received very nicely by the pastor, by a pastor's wife, by the Swiss Red Cross, and from the villages, villagers. And so we, as we arrived, they made dinner for us as, as best as they could, even though it was, everything was rationed. And this was also in Vichy. It was part of Vichy, France.  It was very, very special. Well, first I would like to say this. And when the second or third day we were in that village, there was a very rich lady with, her name was Madame de Felice. She owned a tremendous amount of land. And the home for the Swiss Red Cross was owned by her. And the, the, actually, the whole section was owned by her. It must have been about 300, 400 acres of land. And she had tremendous apple orchards in her garden.",683,3
England,England,52.3555177,-1.1743197,neutral,0.76,"de Gaulle, who left France, in, under the Nazis' eyes of the airport in Lyon, and went to England, and from England to Algiers.  And the, his wife was really special to me, because she was like a mother to me. And I used to visit her almost every day.",277,4
University of Lyon,University of Lyon,45.7295,4.8422,neutral,0.81,"Amongst them was one who was, who was very special to me, especially his wife. His name was André Philip. He was minister of finance under de Gaulle, who left France, in, under the Nazis' eyes of the airport in Lyon, and went to England, and from England to Algiers.  And the, his wife was really special to me, because she was like a mother to me. And I used to visit her almost every day. And, so one, but before Mr. Philip, who was also a professor of economics of the University of Lyon, he came one night, and he, OK, had a big chariot with with two wheels, bicycle wheels on it, of potatoes, which was illegal to, to buy and hoard 'em in France. So he came. He says, you better come to, we were just at the dinner table. He says, you come and you better help us get these potatoes off the road. Or else I'm gonna go to jail.",598,4
Laval,"Not a placename; refers to Pierre Laval, Vichy premier",0.0,0.0,neutral,1.0,"the Milice Laval, which is the, Laval, 
Laval was the president of France, which was equivalent to the Gestapo, and 
the gendarmerie are looking for all Jewish people.",220,4
Toulouse,Toulouse,43.6045,1.444,sadness,0.91,"we, in September or October, I don't recall which date it was or 
month, they, they gathered us together, and we went on a train with a nice 
young lady. Her name was Hirsch. And she took us by train to Toulouse. 
We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. 
So this is when you separated from your parents? 
That's right, and from my brother. 
It was not easy for me. It was very hard for them. They knew this might be 
it. And my brother was, I said to my brother when I left, I said, I'll see 
what I can do to get you out when I'm there.",523,5
Lyon,Lyon,45.75,4.85,neutral,0.77,"He was minister of finance under de Gaulle, who left France, in, under the 
Nazis' eyes of the airport in Lyon, and went to England, and from England 
to Algiers.  And the, his wife was really special to me, because she was 
like a mother to me.",268,4
New York,New York City,40.7127281,-74.0060152,neutral,0.92,"...the one who was in charge was a man with the name of Auguste Bohny. Somebody, he was just last year, he was honored by the B'nai B'rith here in New York. And we, he started this carpenter shop. And we, my brother and I, brother and I, who also came to Le Chambon, after a short while...",316,4
sur-Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,fear,0.94,"And I was told to get off at a place called Le Chambon-sur-Lignon. And I arrived at about 4 o'clock in the morning. 3:00, 3:00 or 4 o'clock in the morning. It was a bitter, cold night. And I was met there by a young man named Daniel Trocme, who then took me, and we had a very, very long walk through the night.",349,2
Auschwitz,Auschwitz concentration camp,50.0343,19.2091,sadness,0.97,"Well, I guess. Oh, yes. We knew that it was critical, because at that time we knew already that my parents went to Drancy, and from Drancy to Auschwitz. We had known, because one of the girls who came out of Gurs with me, she went to visit her mother and saw my parents on the, in the, going onto the train to Drancy. Well, I cried. And I, I was besides myself. To lose my parents, that's, well, I didn't say, I wouldn't say lose. I, I, I didn't think they would be killed. But to don't know where my parents were, I was really besides myself, and so was my brother.",518,5
Le Chambon-sur Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,sadness,0.92,"We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. 
So this is when you separated from your parents? 
That's right, and from my brother. 
It was not easy for me. It was very hard for them. They knew this might be 
it. And my brother was, I said to my brother when I left, I said, I'll see 
what I can do to get you out when I'm there. Just let me get my feet on 
the ground. So I was in,  we, so we got to this home from the Swiss Red 
Cross. And we, it was a very small house up in the Massif Central, in 
[FRENCH]. And we were received very nicely by the pastor, by a pastor's wife, 
by the Swiss",532,5
"Washington, DC","Washington, D.C.",38.89511,-77.03637,neutral,0.67,"Then Mademoiselle 
Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. 
She lives in Washington, DC. The next one is, the other little girl is Hanne 
Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the 
fellow is Manfred, don't remember his last name. 
That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter.",344,4
Grenoble,Grenoble,45.188529,5.724524,neutral,0.83,"And she took a, and then, it was a Monday she took us. She took me and another pastor who joined us there, took us to Grenoble, from Grenoble to Annecy. As a matter of fact, the French resistance in Le Chambon was very, very big too, which, but they had passive resistance there.",280,4
Britain,United Kingdom,55.378051,-3.435973,joy,0.81,"We're lucky because there's a shortwave radio in the house and we get news from Britain. It's in French, and we understand enough French now to know what they're saying. We think they're sending coded messages to the Resistance here in France. It's very exciting! We have newspapers here, too, so for the first time since we've been in Le Chambon, we can follow the news of the war.",398,3
"Bayside, New York","Bayside, Queens, New York, USA",40.7634,-73.7741,neutral,0.68,"Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name. That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter.",241,4
