toponym,emotion,confidence_score,context
Le Chambon-sur-Lignon,joy,0.9,"Le Chambon-sur-Lignon, who saved the 5,000 Jewish people, who were the, the one who was very involved with this was Pastor and Madam Trocme and Mr. Darcissac and Pastor Theis. The, this village is unique. As a matter of fact, there's a film that has been made by Pierre Sauvage named Weapons of the Spirit. This is the picture where the seven of us children who came from Camp de Gurs to Le Chambon. This is also at the home of the Swiss Red Cross. We were, this was haven for us, because they got us out of Camp de Gurs. The lady in the middle is Mademoiselle Usach who was the directress of the home. She was a Spanish citizen at the time. And she's the one, she came, she left Spain during the Civil War and came to France. These children are, to the left is Victor Atlas. I am next to him. And next to me is another Atlas. As it turns out, I don't remember his first name. Then Mademoiselle Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name. That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter. Oh his name is Manfred Goldberger. Now I remember. So we were close knit. This is me as a Boy Scout, leaving Le Chambon to go over the border to Switzerland. And I was very happy to leave, even though I left a lot of my friends behind. This is the dining room with the Swiss Red Cross flag and other flags from several nations, where some of the childrens came from. And to the right, you have the French colors. And I had some happy times in this dining room. Oh, definitely. And I'm very proud to have been part of this village. They did a lot of good for all these Jewish people, who were hidden for so many years."
Le Chambon,joy,0.9,"Le Chambon-sur-Lignon, who saved the 5,000 Jewish people, who were the, the one who was very involved with this was Pastor and Madam Trocme and Mr. Darcissac and Pastor Theis. The, this village is unique. As a matter of fact, there's a film that has been made by Pierre Sauvage named Weapons of the Spirit. This is the picture where the seven of us children who came from Camp de Gurs to Le Chambon. This is also at the home of the Swiss Red Cross. We were, this was haven for us, because they got us out of Camp de Gurs. The lady in the middle is Mademoiselle Usach who was the directress of the home. She was a Spanish citizen at the time. And she's the one, she came, she left Spain during the Civil War and came to France. These children are, to the left is Victor Atlas. I am next to him. And next to me is another Atlas. As it turns out, I don't remember his first name. Then Mademoiselle Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name. That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter. Oh his name is Manfred Goldberger. Now I remember. So we were close knit. This is me as a Boy Scout, leaving Le Chambon to go over the border to Switzerland. And I was very happy to leave, even though I left a lot of my friends behind. This is the dining room with the Swiss Red Cross flag and other flags from several nations, where some of the childrens came from. And to the right, you have the French colors. And I had some happy times in this dining room. Oh, definitely. And I'm very proud to have been part of this village. They did a lot of good for all these Jewish people, who were hidden for so many years."
Le Chambon-sur-Lignon,joy,0.9,"Le Chambon-sur-Lignon, who saved the 5,000 Jewish people, who were the, the one who was very involved with this was Pastor and Madam Trocme and Mr. Darcissac and Pastor Theis. The, this village is unique. As a matter of fact, there's a film that has been made by Pierre Sauvage named Weapons of the Spirit. This is the picture where the seven of us children who came from Camp de Gurs to Le Chambon. This is also at the home of the Swiss Red Cross. We were, this was haven for us, because they got us out of Camp de Gurs. The lady in the middle is Mademoiselle Usach who was the directress of the home. She was a Spanish citizen at the time. And she's the one, she came, she left Spain during the Civil War and came to France. These children are, to the left is Victor Atlas. I am next to him. And next to me is another Atlas. As it turns out, I don't remember his first name. Then Mademoiselle Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name. That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter. Oh his name is Manfred Goldberger. Now I remember. So we were close knit. This is me as a Boy Scout, leaving Le Chambon to go over the border to Switzerland. And I was very happy to leave, even though I left a lot of my friends behind. This is the dining room with the Swiss Red Cross flag and other flags from several nations, where some of the childrens came from. And to the right, you have the French colors. And I had some happy times in this dining room. Oh, definitely. And I'm very proud to have been part of this village. They did a lot of good for all these Jewish people, who were hidden for so many years."
Le Chambon,joy,0.9,"Le Chambon-sur-Lignon, who saved the 5,000 Jewish people, who were the, the one who was very involved with this was Pastor and Madam Trocme and Mr. Darcissac and Pastor Theis. The, this village is unique. As a matter of fact, there's a film that has been made by Pierre Sauvage named Weapons of the Spirit. This is the picture where the seven of us children who came from Camp de Gurs to Le Chambon. This is also at the home of the Swiss Red Cross. We were, this was haven for us, because they got us out of Camp de Gurs. The lady in the middle is Mademoiselle Usach who was the directress of the home. She was a Spanish citizen at the time. And she's the one, she came, she left Spain during the Civil War and came to France. These children are, to the left is Victor Atlas. I am next to him. And next to me is another Atlas. As it turns out, I don't remember his first name. Then Mademoiselle Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name. That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter. Oh his name is Manfred Goldberger. Now I remember. So we were close knit. This is me as a Boy Scout, leaving Le Chambon to go over the border to Switzerland. And I was very happy to leave, even though I left a lot of my friends behind. This is the dining room with the Swiss Red Cross flag and other flags from several nations, where some of the childrens came from. And to the right, you have the French colors. And I had some happy times in this dining room. Oh, definitely. And I'm very proud to have been part of this village. They did a lot of good for all these Jewish people, who were hidden for so many years."
Le Chambon-sur-Lignon,joy,0.9,"Le Chambon-sur-Lignon, who saved the 5,000 Jewish people, who were the, the one who was very involved with this was Pastor and Madam Trocme and Mr. Darcissac and Pastor Theis. The, this village is unique. As a matter of fact, there's a film that has been made by Pierre Sauvage named Weapons of the Spirit. This is the picture where the seven of us children who came from Camp de Gurs to Le Chambon. This is also at the home of the Swiss Red Cross. We were, this was haven for us, because they got us out of Camp de Gurs. The lady in the middle is Mademoiselle Usach who was the directress of the home. She was a Spanish citizen at the time. And she's the one, she came, she left Spain during the Civil War and came to France. These children are, to the left is Victor Atlas. I am next to him. And next to me is another Atlas. As it turns out, I don't remember his first name. Then Mademoiselle Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name. That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter. Oh his name is Manfred Goldberger. Now I remember. So we were close knit. This is me as a Boy Scout, leaving Le Chambon to go over the border to Switzerland. And I was very happy to leave, even though I left a lot of my friends behind. This is the dining room with the Swiss Red Cross flag and other flags from several nations, where some of the childrens came from. And to the right, you have the French colors. And I had some happy times in this dining room. Oh, definitely. And I'm very proud to have been part of this village. They did a lot of good for all these Jewish people, who were hidden for so many years."
Le Chambon,joy,0.9,"Le Chambon-sur-Lignon, who saved the 5,000 Jewish people, who were the, the one who was very involved with this was Pastor and Madam Trocme and Mr. Darcissac and Pastor Theis. The, this village is unique. As a matter of fact, there's a film that has been made by Pierre Sauvage named Weapons of the Spirit. This is the picture where the seven of us children who came from Camp de Gurs to Le Chambon. This is also at the home of the Swiss Red Cross. We were, this was haven for us, because they got us out of Camp de Gurs. The lady in the middle is Mademoiselle Usach who was the directress of the home. She was a Spanish citizen at the time. And she's the one, she came, she left Spain during the Civil War and came to France. These children are, to the left is Victor Atlas. I am next to him. And next to me is another Atlas. As it turns out, I don't remember his first name. Then Mademoiselle Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name. That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter. Oh his name is Manfred Goldberger. Now I remember. So we were close knit. This is me as a Boy Scout, leaving Le Chambon to go over the border to Switzerland. And I was very happy to leave, even though I left a lot of my friends behind. This is the dining room with the Swiss Red Cross flag and other flags from several nations, where some of the childrens came from. And to the right, you have the French colors. And I had some happy times in this dining room. Oh, definitely. And I'm very proud to have been part of this village. They did a lot of good for all these Jewish people, who were hidden for so many years."
Le Chambon-sur-Lignon,joy,0.9,"Le Chambon-sur-Lignon, who saved the 5,000 Jewish people, who were the, the one who was very involved with this was Pastor and Madam Trocme and Mr. Darcissac and Pastor Theis. The, this village is unique. As a matter of fact, there's a film that has been made by Pierre Sauvage named Weapons of the Spirit. This is the picture where the seven of us children who came from Camp de Gurs to Le Chambon. This is also at the home of the Swiss Red Cross. We were, this was haven for us, because they got us out of Camp de Gurs. The lady in the middle is Mademoiselle Usach who was the directress of the home. She was a Spanish citizen at the time. And she's the one, she came, she left Spain during the Civil War and came to France. These children are, to the left is Victor Atlas. I am next to him. And next to me is another Atlas. As it turns out, I don't remember his first name. Then Mademoiselle Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name. That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter. Oh his name is Manfred Goldberger. Now I remember. So we were close knit. This is me as a Boy Scout, leaving Le Chambon to go over the border to Switzerland. And I was very happy to leave, even though I left a lot of my friends behind. This is the dining room with the Swiss Red Cross flag and other flags from several nations, where some of the childrens came from. And to the right, you have the French colors. And I had some happy times in this dining room. Oh, definitely. And I'm very proud to have been part of this village. They did a lot of good for all these Jewish people, who were hidden for so many years."
Le Chambon,joy,0.9,"Le Chambon-sur-Lignon, who saved the 5,000 Jewish people, who were the, the one who was very involved with this was Pastor and Madam Trocme and Mr. Darcissac and Pastor Theis. The, this village is unique. As a matter of fact, there's a film that has been made by Pierre Sauvage named Weapons of the Spirit. This is the picture where the seven of us children who came from Camp de Gurs to Le Chambon. This is also at the home of the Swiss Red Cross. We were, this was haven for us, because they got us out of Camp de Gurs. The lady in the middle is Mademoiselle Usach who was the directress of the home. She was a Spanish citizen at the time. And she's the one, she came, she left Spain during the Civil War and came to France. These children are, to the left is Victor Atlas. I am next to him. And next to me is another Atlas. As it turns out, I don't remember his first name. Then Mademoiselle Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name. That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter. Oh his name is Manfred Goldberger. Now I remember. So we were close knit. This is me as a Boy Scout, leaving Le Chambon to go over the border to Switzerland. And I was very happy to leave, even though I left a lot of my friends behind. This is the dining room with the Swiss Red Cross flag and other flags from several nations, where some of the childrens came from. And to the right, you have the French colors. And I had some happy times in this dining room. Oh, definitely. And I'm very proud to have been part of this village. They did a lot of good for all these Jewish people, who were hidden for so many years."
Le Chambon-sur-Lignon,joy,0.9,"Le Chambon-sur-Lignon, who saved the 5,000 Jewish people, who were the, the one who was very involved with this was Pastor and Madam Trocme and Mr. Darcissac and Pastor Theis. The, this village is unique. As a matter of fact, there's a film that has been made by Pierre Sauvage named Weapons of the Spirit. This is the picture where the seven of us children who came from Camp de Gurs to Le Chambon. This is also at the home of the Swiss Red Cross. We were, this was haven for us, because they got us out of Camp de Gurs. The lady in the middle is Mademoiselle Usach who was the directress of the home. She was a Spanish citizen at the time. And she's the one, she came, she left Spain during the Civil War and came to France. These children are, to the left is Victor Atlas. I am next to him. And next to me is another Atlas. As it turns out, I don't remember his first name. Then Mademoiselle Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name. That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter. Oh his name is Manfred Goldberger. Now I remember. So we were close knit. This is me as a Boy Scout, leaving Le Chambon to go over the border to Switzerland. And I was very happy to leave, even though I left a lot of my friends behind. This is the dining room with the Swiss Red Cross flag and other flags from several nations, where some of the childrens came from. And to the right, you have the French colors. And I had some happy times in this dining room. Oh, definitely. And I'm very proud to have been part of this village. They did a lot of good for all these Jewish people, who were hidden for so many years."
Le Chambon,joy,0.9,"Le Chambon-sur-Lignon, who saved the 5,000 Jewish people, who were the, the one who was very involved with this was Pastor and Madam Trocme and Mr. Darcissac and Pastor Theis. The, this village is unique. As a matter of fact, there's a film that has been made by Pierre Sauvage named Weapons of the Spirit. This is the picture where the seven of us children who came from Camp de Gurs to Le Chambon. This is also at the home of the Swiss Red Cross. We were, this was haven for us, because they got us out of Camp de Gurs. The lady in the middle is Mademoiselle Usach who was the directress of the home. She was a Spanish citizen at the time. And she's the one, she came, she left Spain during the Civil War and came to France. These children are, to the left is Victor Atlas. I am next to him. And next to me is another Atlas. As it turns out, I don't remember his first name. Then Mademoiselle Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name. That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter. Oh his name is Manfred Goldberger. Now I remember. So we were close knit. This is me as a Boy Scout, leaving Le Chambon to go over the border to Switzerland. And I was very happy to leave, even though I left a lot of my friends behind. This is the dining room with the Swiss Red Cross flag and other flags from several nations, where some of the childrens came from. And to the right, you have the French colors. And I had some happy times in this dining room. Oh, definitely. And I'm very proud to have been part of this village. They did a lot of good for all these Jewish people, who were hidden for so many years."
