name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
Vichy,46.128684,3.426521,neutral,0.68,His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week!  Lucky! Lucky!,116,4
Les Grillons,45.062927,4.291207,joy,0.87,"And on New Year's Eve, they explained to me that there would be fewer patrols and police out, checking people's, traveler's papers, identity papers. And I was told to get off at a place called Le Chambon-sur-Lignon.  And I arrived at about 4 o'clock in the morning. 3:00, 3:00 or 4 o'clock in the morning. It was a bitter, cold night. And I was met there by a young man named Daniel Trocme, who then took me, and we had a very, very long walk through the night. And ultimately, I wound up in a, a stone farmhouse called Les Grillons, the crickets, French word for crickets. And there I found myself together with about 22 or 24 other kids, ranging in age from about six, seven, up to about 17 or 18, boys and girls. And Daniel Trocme was our, call it then, then father. He was the, our supervisor and the man who ran that particular home.",568,3
Le Chambon,45.06081,4.302941,surprise,0.71,"Later on I found out that he was the cousin of the pastor of the Le Chambon, whose name was Andre Trocme. At first I didn't know where I was, what it was. I discovered later, especially after the war, many years after the war, that Le Chambon was a most unique village in France.  It is located at about 3,000 feet elevation in the Massif Central, in the central mountain chain in France. Sort of isolated on a desolate plateau, very cold in the winter, windswept plateau. Agriculture was pretty rudimentary.",451,6
France,46.603354,1.888334,neutral,0.77,"I discovered later, especially after the war, many years after the war, that Le Chambon was a most unique village in France.  It is located at about 3,000 feet elevation in the Massif Central, in the central mountain chain in France. Sort of isolated on a desolate plateau, very cold in the winter, windswept plateau. Agriculture was pretty rudimentary.",266,4
Massif Central,45.5,3.0,neutral,0.75,"It is located at about 3,000 feet elevation in the Massif Central, in the central mountain chain in France. Sort of isolated on a desolate plateau, very cold in the winter, windswept plateau. Agriculture was pretty rudimentary.",142,4
France,46.603354,1.888334,neutral,0.73,"Agriculture was pretty rudimentary.  But what made this village unusual was that in the country, that is 90% or 95% Catholic, this village was about 90% Protestant. And the villagers, under the leadership of their pastor, Andre Trocme, were inspired to live the Bible.",203,4
Le Chambon,45.06081,4.302941,surprise,0.72,"Well, they saved, during the war years, 5,000 people were sheltered in that village in Le Chambon and in the surrounding villages.  Perhaps their act was inspired also by memories of the suffering and the persecution that the Protestants suffered during the Reformation period, when the Protestants were being massacred, literally massacred by the thousands by, in Catholic France.",347,6
France,46.603354,1.888334,sadness,0.78,"Perhaps their act was inspired also by memories of the suffering and the persecution that the Protestants suffered during the Reformation period, when the Protestants were being massacred, literally massacred by the thousands by, in Catholic France.  And so I found shelter there. I, I was sent to school, to a school that they had organized, which was called the College Cevenol. As a matter of fact, that school is a private school today that still, still is in existence. We, under the circumstance, and in retrospect, lived a fairly good life. There being villagers, we, I mean, farmers. Excuse me.",447,5
College Cevenol,45.065412,4.299936,neutral,0.7,"I, I was sent to school, to a school that they had organized, which was called the College Cevenol. As a matter of fact, that school is a private school today that still, still is in existence. We, under the circumstance, and in retrospect, lived a fairly good life.",213,4
Les Grillons,45.062927,4.291207,neutral,0.76,"And every so often, we would be told to suddenly leave the classroom or leave our home, Les Grillons, and go pick mushrooms. Go, everybody, into the woods. Later on we learned that when that happened, it was the result of an anonymous phone call to the leadership in the village, warning them that there would be a raid, and that they were coming out to hunt for Jews or illegal residents there.  And we would be kept in the woods until the all clear signal was given, and we would then come back into town.",447,4
France,46.603354,1.888334,fear,0.82,"Later on we learned that when that happened, it was the result of an anonymous phone call to the leadership in the village, warning them that there would be a raid, and that they were coming out to hunt for Jews or illegal residents there.  And we would be kept in the woods until the all clear signal was given, and we would then come back into town.  During that period, they then also provided us with false identification cards. They took identity pictures of us. And in due time, I was given a French identity card with the name of Pierre Fesson. I kept my same birth date, but I was told that my place of birth was Auch, Gers, where I last lived with my parents.",486,2
"Auch, Gers",43.645538,0.58584,neutral,0.54,"And in due time, I was given a French identity card with the name of Pierre Fesson. I kept my same birth date, but I was told that my place of birth was Auch, Gers, where I last lived with my parents.  What kinds of contact, if any, did you ever have with either the resistance or with any of the, the groups that were attempting to fight the Germans from within France?",219,4
Le Chambon,45.06081,4.302941,neutral,0.67,"The only contact, or the first contact, if you will, were in Le Chambon. There was, in the area, not in Le Chambon itself, but in the area, apparently there was a Jewish underground organization. I think at one point I may have been taken together with several other kids to this group. I remember they were dancing the Hora, which was the first time I ever saw that. And we sang some songs, resistance songs.",343,4
