toponym,resolved_name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
Chambon,,0.0,0.0,neutral,0.0,,0,4
Vichy,Vichy,46.127795,3.426415,neutral,0.69,"His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where 
he has [contacts] and his father was released in one week! 
Lucky! Lucky! 
Friday, January 22, 1943 
The UGIF now sends me three hundred francs every month. Mr. T. however takes them.",230,4
Saint-Etienne,Saint-Étienne,45.4397,4.3872,neutral,0.78,"It was a little village up above Saint-Etienne, about 15 miles away. The 
head of that village was a famous pastor, a Protestant pastor by the name 
of Trocme. He and his wife and the children lived, of course, in the, in 
the, what do you call the house that belongs to the church, where they 
live? 
And there were 5,000 villager there.",295,4
France,France,46.603354,1.888334,neutral,0.6,"He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m.",284,4
Eastern Europe,Eastern Europe,54.0,25.0,sadness,0.91,"And it was the biggest tragedy of that time was to have those people 
who came from Eastern Europe and escaped to France. And France was the 
haven. I mean, they thought nothing could happen to them when they got to 
France. They didn't realize that they would be picked up there just as 
well as they could have been in Germany or in Hungary or in Romania or 
anywhere else.",371,5
Poland,Poland,51.919438,19.145136,neutral,0.68,"which was the home for students from all 
countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older. 
There were all denominations. And we were supposed to be able to 
continue to some extent the studies, to the extent that the faculty was 
available. And we did indeed attend school.",345,4
Austria,Austria,47.516231,14.550072,neutral,0.51,I go to school. Often think of you. I found an Austrian with whom I get along well and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky!,320,4
Russia,Russia,61.52401,105.318756,neutral,0.7,"which was the home for students from all 
countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older. 
There were all denominations. And we were supposed to be able to 
continue to some extent the studies, to the extent that the faculty was 
available.",281,4
Chambon-sur-Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,fear,0.95,"So by late December, December 31, I was notified that I would be shipped 
off to another location. And I was put on a train. And on New Year's Eve, 
they explained to me that there would be fewer patrols and police out, 
checking people's, traveler's papers, identity papers. And I was told to 
get off at a place called Le Chambon-sur-Lignon. 
And I arrived at about 4 o'clock in the morning. 3:00, 3:00 or 4 o'clock 
in the morning. It was a bitter, cold night. And I was met there by a 
young man named Daniel Trocme, who then took me, and we had a very, very 
long walk through the night. And ultimately, I wound up in a, a stone 
farmhouse called Les Grillons, the crickets, French word for crickets. 
And there I found myself together with about 22 or 24 other kids, ranging 
in age from about six, seven, up to about 17 or 18, boys and girls.",668,2
Drancy,Drancy,48.92577,2.44559,fear,0.97,"This idyll didn't last too long, because already in July the French started collecting all the Jews for deportation to the either Drancy or to the east. And we were affected in Chambon. Now I have described the happenings from then, and my first flight to Switzerland over the mountains in a diary, and the consequent return by Swiss soldiers the same day that we arrived in Switzerland to France, and the arrest by the French customs officials, and eventually police, and returned to result.",380,2
Gurs,Gurs internment camp,43.2908,-0.7501,sadness,0.93,"I found an Austrian with whom I get along well 
and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. 
His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where 
he has [contacts] and his father was released in one week! 
Lucky! Lucky!",314,5
Switzerland,Switzerland,46.818188,8.227512,fear,0.92,"Now I have described the happenings from then, and my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple. We were hidden for a while in 
Chambon, and surrounding with mostly Protestant farmers, or, you know, 
summer resident people.",510,2
Alps,Alps,45.832622,6.865143,fear,0.94,"In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple. We were hidden for a while in 
Chambon, and surrounding with mostly Protestant farmers, or, you know, 
summer resident people. So it must have been summer, because it was summer 
residents were there. 
And while we were eating, one of the French customs officials came in. And 
he had a cup of coffee, and he looked at us. Finally, he came over and said, 
Your papers, please. And we showed him the papers. And then he said, well, 
I have to make a phone call. And he made a phone call to his supervisors. 
And the, the order was to have to be return right away to France.",627,2
Europe,Europe,54.526,15.2551,neutral,0.6,"And it was the biggest tragedy of that time was to have those people 
who came from Eastern Europe and escaped to France. And France was the 
haven. I mean, they thought nothing could happen to them when they got to 
France. They didn't realize that they would be picked up there just as 
well as they could have been in Germany or in Hungary or in Romania or 
anywhere else.",468,4
Swiss border,Swiss-French border region,46.1879,6.0229,neutral,0.79,"to get us exit visa from France, to get us Swiss immigrant, immigration visas which we couldn't get on the spot, but we had to pick up in en masse in near the Swiss border on the French side. We managed to go by train unmolested to the Swiss border, this time without guide. My parents-- my mother was hidden in Chambon-sur-Lignon, indeed, in the house of Pastor Trocme, where she was serving as so-called domestic.",387,4
La Guespy,La Guespy,45.064185,4.304985,neutral,0.77,"I'm in Le Chambon-sur-Lignon. It's way up on a high plateau in the mountains. It's beautiful 
here. What a difference from Gurs! I'm staying at La Guespy, which is a home for refugee kids 
like me. Lots of the kids are Jewish, but not all of them. Hanne and the others I came with are all 
staying here, too. Monsieur Bohny is head of all three Swiss Aid homes for refugee kids in Le 
Chambon. The lady who is in charge of us here at La Guespy is named Mademoiselle Usach. 
She never smiles. What a grouch! None of us like her.",511,4
Maison des Roches,"Maison des Roches, Le Chambon-sur-Lignon, France",45.062022,4.294366,joy,0.92,"I was assigned to Maison des Roches. Amazingly, it was a ministerial decision. I have still the documents that conducted me to Chambon-sur-Lignon. In 1941. Yeah, must have been June, 19. Before. Must have been, no, it must have been April, April in 1941. In Chambon, we, or I, I should say, was welcomed in Maison des Roches, which means the house of rocks, which was the home for students from all countries in Europe,  Spain, Belgium, Austria, Poland, Russia, approximately my age or older. There were all denominations. And we were supposed to be able to continue to some extent the studies, to the extent that the facult",544,3
Spain,Spain,40.463667,-3.74922,neutral,0.85,"Maison des Roches, which means the house of rocks, which was the home for students from all countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older. 
There were all denominations. And we were supposed to be able to 
continue to some extent the studies, to the extent that the faculty was 
available. And we did indeed attend school.",341,4
the plateau,Plateau Vivarais-Lignon,45.066667,4.283333,sadness,0.87,"We don't know where Hanne, Mannfred, Lilli, and everyone else is. They're spread out all over the plateau, on farms and in people's homes. It's Martin and me and my friend Walter hiding here. Mostly we sit around and play cards. After school, Rene Riviere and his cousin Helene Veillith and Jacques Rousseau come home. They're really nice. Jacques and his mother, Madame Rousseau, are staying here, too. They're friends of the Rivieres. Altogether, we're six kids and two adults. That's a lot of people to feed, and the three of us who are hiding don't have ration cards for food.",546,5
My,,0.0,0.0,neutral,0.0,,0,4
Perpignan,Perpignan,42.6976,2.8956,neutral,0.71,"But soon, unbelievable gesture of the French Vichy administration. They let us youngsters and a group of political prisoners go, just go, before the Germans occupied the camp. And we went to the railway station in Perpignan. And we were not bothered by the Germans. We made our way back to Chambon. And it was kind of risky on the train with the troops coming the other way, the German troops, and French police going the other way. But we made it to Le Chambon.",406,4
Britain,United Kingdom,55.378051,-3.435973,surprise,0.81,"We're lucky because there's a shortwave radio in the house and we get news from Britain. It's in French, and we understand enough French now to know what they're saying. We think they're sending coded messages to the Resistance here in France. It's very exciting! We have newspapers here, too, so for the first time since we've been in Le Chambon, we can follow the news of the war.",376,6
French,France,46.603354,1.888334,sadness,0.62,I found an Austrian with whom I get along well and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky!,323,5
Algiers,Algiers,36.7538,3.0588,joy,0.91,"Her husband is fighting the Germans with de Gaulle in Algiers. 
Maybe she can help me get out of France. 
I WENT TO MADAME PHILIP and I said, ""I would like to go to Algiers. I want to join de 
Gaulle. I want to fight."" But she said, ""No, you're going to Switzerland!"" 
Switzerland is a neutral country in the war, so Jews are safe from the Nazis there. Madame Philip 
sent me to Pastor Theis, and he made me up some false papers.",439,3
Rivesaltes,Rivesaltes,42.7998,2.8726,sadness,0.92,"And put us on a train. We were put into handcuffs and sent back to Rivesaltes. 
The amazing thing was that the word got through to Chambon-sur-Lignon that we are in Rivesaltes. And none other than, first, Tracy Strong came. And I gave him my shoes, which were in total shambles, which he took with him. And I had a pair of rubber boots. No, that was before. I'm mixing it up. It's in my book. And he promised to get us some help. Shortly thereafter, Madam came to the camp in, in Rivesaltes. She was the chief of the Cimade in France. And Pastor Trocme himself. Pastor Trocme was the famous priest in Chambon-sur-Lignon who offered passive resistance against the Germans",567,5
sur-Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,fear,0.94,"shipped 
off to another location. And I was put on a train. And on New Year's Eve, 
they explained to me that there would be fewer patrols and police out, 
checking people's, traveler's papers, identity papers. And I was told to 
get off at a place called Le Chambon-sur-Lignon. 
And I arrived at about 4 o'clock in the morning. 3:00, 3:00 or 4 o'clock 
in the morning. It was a bitter, cold night. And I was met there by a 
young man named Daniel Trocme, who then took me, and we had a very, very 
long walk through the night. And ultimately, I wound up in a, a stone 
farmhouse called Les Grillons, the crickets, French word for crickets. 
And there I found myself together with about 22 or 24 other kids, ranging 
in age from about six, seven, up to about 17 or 18, boys and girls. And 
Daniel Trocme was our, call it then, then father.",613,2
Le Puy,Le Puy-en-Velay,45.0449,3.8842,fear,0.94,"A minute ago, a boy got on the bus and handed me a piece of chocolate. Then he turned and left. I don't even know him, but he gave me his chocolate! They're starting the bus. They say they're taking us to Le Puy, which is where the Nazis are. I'm scared.",259,2
LePuy-en-Velay,Le Puy-en-Velay,45.0446,3.8846,fear,0.92,"They're starting the bus. They say they're taking us to Le Puy, which is where the Nazis are. I'm 
scared.
Age 17, February 1943, LePuy-en-Velay, France 
The gendarmes have interrogated me and so have the Germans. I'm really lucky. For some 
reason, they've decided to let me go. But not Martin. There's nothing I can do.",312,2
Alsace-Lorraine,Alsace-Lorraine,48.5,7.5,neutral,0.79,"and watched him make a French carte d'identite, identity card, and a Boy Scout identification card. He took the picture off my German identification card that had the big J for Jewish on it, and he put the photo on my new ID. He had to make sure that the swastika came off. My new name is Jacques Levet, and it says on my ID card that I was born in Alsace-Lorraine. That's close to the German border, so it might explain my German accent if I'm stopped. Pastor Theis says I can leave for Switzerland in a couple of days.",482,4
German border,German-French border,49.0,8.2,neutral,0.66,"He had to make sure that the swastika came off. My new name is Jacques Levet, and it says on my ID card that I was born in Alsace-Lorraine. That's close to the German border, so it might explain my German accent if I'm stopped. Pastor Theis says I can leave for Switzerland in a couple of days.",337,4
Massif Central,,0.0,0.0,neutral,0.0,,0,4
Germany,Germany,51.165691,10.451526,sadness,0.91,"And France was the haven. I mean, they thought nothing could happen to them when they got to France. They didn't realize that they would be picked up there just as well as they could have been in Germany or in Hungary or in Romania or anywhere else. 
And they never talked the language. And they were, they were easy prey 
for the Germans because they themselves didn't have enough, enough 
knowledge of a language. And if they spoke the language a little, they 
had a terrible accent. So they were immediately denounced.
And the children were usually left? ",499,5
Camp de Gurs,Camp de Gurs,43.381944,-0.747222,neutral,0.85,"Well, this comes, the, in, in the camp, in Camp de Gurs, it was, it didn't really matter. So in, sometime in September of 1942, a woman came to see my parents. We visited, my mother came over to visit us. And we were told that somebody is coming from the OSE. I don't know if you heard about the OSE, which is Oeuvre de Secour aux Enfants. And she asked several people if they would like to send that, one of their children, if the child is young enough, to send them somewhere where they would be safe. And my mother and father said, I think we should. And I said I don't want to go out without my brother. And they said, oh, no. You gonna go.",537,4
Toulouse,Toulouse,43.604652,1.444209,neutral,0.7,"and she took us by train to Toulouse. 
We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. 
So this is when you separated from your parents? 
That's right, and from my brother. 
It was not easy for me. It was very hard for them.",349,4
England,England,52.3555177,-1.1743197,neutral,0.79,"He was minister of finance under de Gaulle, who left France, in, under the Nazis' eyes of the airport in Lyon, and went to England, and from England to Algiers. And the, his wife was really special to me, because she was like a mother to me.",248,4
Lyon,Lyon,45.75,4.85,neutral,0.54,"He was minister of finance under de Gaulle, who left France, in, under the 
Nazis' eyes of the airport in Lyon, and went to England, and from England 
to Algiers.  And the, his wife was really special to me, because she was 
like a mother to me. And I used to visit her almost every day.",309,4
Swiss,Swiss,0.0,0.0,neutral,0.0,,0,4
Annecy,Annecy,45.899247,6.129384,neutral,0.81,"I'm not supposed to understand 
German, I'm supposed to be a French Boy Scout just sitting here on the train going to Annecy. 
So I'd better not laugh at their jokes, even though they're really funny. 
I left Le Chambon for Switzerland right after getting my false papers.",262,4
Valence,"Valence, Drôme, France",44.933393,4.89236,fear,0.92,"I had been in the Boy Scouts while I was in Le Chambon, but I didn't have a uniform, they were too expensive. Jean-Pierre, Pastor Trocme's son, and Marco Darcissac, the son of the schoolmaster, took me by bicycle all the way down the mountains to Valence, seventy kilometers! I was scared stiff! I had never gone down such steep mountains before on a bike. They left me with a lady in Valence. She took me to her brother, who was a pastor. I stayed for the whole weekend, and I even went to church with them! On Monday, another pastor came and we got on the train for Annecy, which is close to Switzerland.",527,2
Le Chambon-sur Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,sadness,0.91,"And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. 
So this is when you separated from your parents? 
That's right, and from my brother. 
It was not easy for me. It was very hard for them. They knew this might be 
it. And my brother was, I said to my brother when I left, I said, I'll see 
what I can do to get you out when I'm there. Just let me get my feet on 
the ground. So I was in,  we, so we got to this home from the Swiss Red 
Cross. And we, it was a very small house up in the Massif Central, in 
[FRENCH]. And we were received very nicely by the pastor, by a pastor's wife, 
by the Swiss",520,5
Marseilles,Marseille,43.296482,5.36978,neutral,0.64,"We were told that we'll have to get out in two or three days. When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m.",325,4
New York,New York City,40.7128,-74.006,neutral,0.74,"then they started a carpenter shop, which was organized by the Swiss Red Cross children's help, with a, and the one who was in charge was a man with the name of Auguste Bohny. Somebody, he was just last year, he was honored by the B'nai B'rith here in New York. And we, he started this carpenter shop. And we, my brother and I, brother and I, who also came to Le Chambon, after a short while",379,4
"Washington, DC","Washington, DC",38.89511,-77.03637,neutral,0.87,"her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred",226,4
Grenoble,Grenoble,45.188529,5.724524,neutral,0.73,"And she took care of me for, for the weekend. And she took me to her brother, who was a pastor in another mountain village. And she took a, and then, it was a Monday she took us. She took me and another pastor who joined us there, took us to Grenoble, from Grenoble to Annecy. As a matter of fact, the French resistance in Le Chambon was very, very big too, which, but they had passive resistance there. This is the house called La Guespy.",427,4
University of Lyon,University of Lyon,45.7485,4.8557,neutral,0.68,"And, so one, but before Mr. Philip, who was also a professor of economics of the University of Lyon, he came one night, and he, OK, had a big chariot with with two wheels, bicycle wheels on it, of potatoes, which was illegal to, to buy and hoard 'em in France. So he came. He says, you better come to, we were just at the dinner table. He says, you come and you better help us get these potatoes off the road. Or else I'm gonna go to jail. So we all, we all packed up and went, and all took a big bag of potatoes and carried them to his house.
But I always have to say, when I got out of Camp de Gurs, into this village, I only weighed about 80, 90 pounds.",523,4
Washington,"Washington, D.C., United States",38.89511,-77.03637,neutral,0.82,"I mean, if you ever go to the museum, the Holocaust museum in Washington, you'll see a very good display of what Chambon was. 
It was a little village up above Saint-Etienne, about 15 miles away.",207,4
Auschwitz,Auschwitz concentration camp,50.0359,19.1786,sadness,0.97,"because at that time we 
knew already that my parents went to Drancy, and from Drancy to Auschwitz. 
We had known, because one of the girls who came out of Gurs with me, she went 
to visit her mother and saw my parents on the, in the, going onto the train to 
Drancy. 
Well, I cried. And I, I was besides myself. To lose my parents, that's, well, 
I didn't say, I wouldn't say lose. I, I, I didn't think they would be killed. 
But to don't know where my parents were, I was really besides myself, and so 
was my brother. So we didn't know what's next.",419,5
Les Caillols,Les Caillols,43.3108,5.4557,neutral,0.71,"Tuesday, January 5, 1943 [Les Caillols] 
Mrs. Brémond (they got married) wrote a letter to Mr. Trocmé in 
which she asked him if he did not have an opening for me at his place. I had 
asked her to allow me to go to school. She gave this letter to a young girl, Simone 
Fullenbaum, who  lived  previously  at  Les  Caillols  and  now  lives  at  Les 
Grillons  with  Mr. Trocmé. I hope that I'll be able to go there. The food there is fit for 
kings (butter, potatoes, et cetera). Whatever is happening to you? Your son is 
thinking of you.",425,4
Bayside,"Bayside, Queens, New York, USA",40.7634,-73.7731,neutral,0.79,"her is Lilli Brown. Her name is Feihan now. 
She lives in Washington, DC. The next one is, the other little girl is Hanne 
Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the 
fellow is Manfred, don't remember his last name.
That we came. Yeah, to Le Chambon.",283,4
