toponym,resolved_name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,fear,0.96,"Monday, February 1, 1943 So by late December, December 31, I was notified that I would be shipped 
off to another location. And I was put on a train. And on New Year's Eve, 
they explained to me that there would be fewer patrols and police out, 
checking people's, traveler's papers, identity papers. And I was told to 
get off at a place called Le Chambon-sur-Lignon. 
And I arrived at about 4 o'clock in the morning. 3:00, 3:00 or 4 o'clock 
in the morning. It was a bitter, cold night. And I was met there by a 
young man named Daniel Trocme, who then took me, and we had a very, very 
long walk through the night. And ultimately, I wound up in a, a stone 
farmhouse called Les Grillons, the crickets, French word for crickets. 
And there I found myself together with about 22 or 24 other kids, ranging 
in age from about six, seven, up to about 17 or 18, boys and girls. And 
Daniel Trocme was our, call it then, then father.",609,2
Vichy,Vichy,46.128684,3.426425,neutral,0.81,"His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky! Friday, January 22, 1943 The UGIF now sends me three hundred francs every month. Mr. T. however takes them. Sunday, January 31, 1943 Again another month begins and I am still without news from you.",445,4
Marseilles,Marseille,43.296482,5.36978,neutral,0.87,"Friday, January 15, 1943 
We were told that we'll have to get out in two or three days. When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local tr",561,4
College Cevenol,Collège Cévenol,45.0579,4.3043,neutral,0.77,"I, I was sent to school, to a school that they had organized, which was called the College Cevenol. As a matter of fact, that school is a private school today that still, still is in existence. We, under the circumstance, and in retrospect, lived a fairly good life.",258,4
Paris,Paris,48.8566,2.3522,neutral,0.71,"I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice).",317,4
Gers,,0.0,0.0,neutral,0.0,,0,4
Auch,Auch,43.646338,0.584967,neutral,0.76,"I was told that my place of birth was Auch, Gers, where I last lived with my parents. What kinds of contact, if any, did you ever have with either the resistance or with any of the, the groups that were attempting to fight the Germans from within France? The only contact, or the first contact, if you will, were in Le Chambon.",341,4
Lavoulte bridge,Le Pouzin–La Voulte-sur-Rhône railway bridge,44.8017,4.7742,neutral,0.77,"Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there.
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m.",330,4
Massif Central,Massif Central,45.5,3.0,neutral,0.5,"It is located at about 3,000 feet elevation in the Massif Central, in the 
central mountain chain in France. Sort of isolated on a desolate plateau, 
very cold in the winter, windswept plateau. Agriculture was pretty 
rudimentary.",223,4
St. Agrève,Saint-Agrève,45.0369,4.4098,neutral,0.77,"I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m.",438,4
Les Caillols,Les Caillols,43.2886,5.4504,neutral,0.84,"Tuesday, January 5, 1943 [Les Caillols] 
Mrs. Brémond (they got married) wrote a letter to Mr. Trocmé in 
which she asked him if he did not have an opening for me at his place. I had 
asked her to allow me to go to school. She gave this letter to a young girl, Simone 
Fullenbaum, who  lived  previously  at  Les  Caillols  and  now  lives  at  Les 
Grillons  with  Mr. Trocmé. I hope that I'll be able to go there. The food there is fit for 
kings (butter, potatoes, et cetera). Whatever is happening to you? Your son is 
thinking of you.",431,4
Drancy,Drancy,48.9237,2.4457,fear,0.95,"This idyll didn't last too long, because already in July the French started collecting all the Jews for deportation to the either Drancy or to the east. And we were affected in Chambon. Now I have described the happenings from then, and my first flight to Switzerland over the mountains in a diary, and the consequent return by Swiss soldiers the same day that we arrived in Switzerland to France, and the arrest by the French customs officials, and eventually police, and returned to result.",437,2
Alps,,0.0,0.0,neutral,0.0,,0,4
Le Chambon sur Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,joy,0.87,"Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
w""nt to sleep in the annex (I only saw Mr. T.).",522,3
Perpignan,Perpignan,42.6976,2.8956,surprise,0.76,"But soon, unbelievable gesture of the French Vichy administration. They let us 
youngsters and a group of political prisoners go, just go, before the Germans 
occupied the camp. And we went to the railway station in Perpignan. And we were 
not bothered by the Germans. We made our way back to Chambon. And it was kind of 
risky on the train with the troops coming the other way, the German troops, and 
French police going the other way. But we made it to Le Chambon.",456,6
Cheylard,Le Cheylard,44.9167,4.41667,neutral,0.81,"I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there. Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night.",412,4
Poland,Poland,51.919438,19.145136,neutral,0.77,"which was the home for students from all 
countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older. 
There were all denominations. And we were supposed to be able to 
continue to some extent the studies, to the extent that the faculty was 
available. And we did indeed attend school.",311,4
Austria,Austria,47.516231,14.550072,neutral,0.69,"Wednesday, January 20, 1943 
I go to school. Often think of you. I found an Austrian with whom I get along well 
and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. 
His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where 
he has [contacts] and his father was released in one week! 
Lucky! Lucky! 
Friday, January 22, 1943 
The UGIF now sends me three hundred francs every month. Mr. T. however takes them. 
Sunday, January 31, 1943 
Again another month begins and I am still without news from you.",510,4
Russia,Russia,61.52401,105.318756,neutral,0.73,"which was the home for students from all 
countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older. 
There were all denominations. And we were supposed to be able to 
continue to some extent the studies, to the extent that the faculty was 
available.",278,4
Swiss,Switzerland,46.8182,8.2275,fear,0.95,"my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple. We were hidden for a while in 
Chambon, and surrounding with mostly Protestant farmers",471,2
Switzerland,Switzerland,46.818188,8.227512,fear,0.94,"Now I have described the happenings from then, and my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple. We were hidden for a while in 
Chambon, and surrounding with mostly Protestant farmers, or, you know, 
summer resident people.",473,2
Saint-Etienne,Saint-Étienne,45.4397,4.3872,neutral,0.81,"if you ever go to the museum, the Holocaust museum in Washington, you'll see a very good display of what Chambon was. It was a little village up above Saint-Etienne, about 15 miles away. The head of that village was a famous pastor, a Protestant pastor by the name of Trocme. He and his wife and the children lived, of course, in the, in the, what do you call the house that belongs to the church, where they live? And there were 5,000 villager there.",381,4
Spain,Spain,40.463667,-3.74922,neutral,0.68,"which was the home for students from all 
countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older. 
There were all denominations. And we were supposed to be able to 
continue to some extent the studies, to the extent that the faculty was 
available. And we did indeed attend school.",304,4
Swiss border,Swiss-French border,46.2,6.15,fear,0.89,"we had to pick up in en masse in near the Swiss border on the French side. We 
managed to go by train unmolested to the Swiss border, this time without guide. 
My parents-- my mother was hidden in Chambon-sur-Lignon, indeed, in the house of 
Pastor Trocme, where she was serving as so-called domestic. She was the cook. And 
there was not much to cook much anyway.",354,2
Maison des Roches,Maison des Roches,45.0596,4.2943,joy,0.97,"I received, through, again, Tracy Strong, influence, documents of 
liberation to go to Chambon-sur-Lignon in the Haute-Loire, which was a, 
a center of mostly the remnants of the Huguenots, mostly Protestant 
population. And they had two homes for victims of war to be able to 
continue their studies. I was assigned to Maison des Roches. Amazingly, 
it was a ministerial decision. I have still the documents that conducted 
me to Chambon-sur-Lignon. 
In 1941. 
Yeah, must have been June, 19. 
Before. Must have been, no, it must have been April, April in 1941. 
In Chambon, we, or I, I should say, was welcomed in Maison des Roches, 
which means the house of rocks, which was the home for students from all 
countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older. 
There were all denominations.",534,3
La Guespy,La Guespy,45.0619,4.2994,neutral,0.81,"I'm in Le Chambon-sur-Lignon. It's way up on a high plateau in the mountains. It's beautiful 
here. What a difference from Gurs! I'm staying at La Guespy, which is a home for refugee kids 
like me. Lots of the kids are Jewish, but not all of them. Hanne and the others I came with are all 
staying here, too. Monsieur Bohny is head of all three Swiss Aid homes for refugee kids in Le 
Chambon. The lady who is in charge of us here at La Guespy is named Mademoiselle Usach. 
She never smiles. What a grouch! None of us like her. 
So far I've learned a few words of French. I have a nice teacher. Most of us don't know French.",566,4
French side,French side,46.0,6.961,neutral,0.72,"we had to pick up in en masse in near the Swiss border on the French side. We 
managed to go by train unmolested to the Swiss border, this time without guide. 
My parents-- my mother was hidden in Chambon-sur-Lignon, indeed, in the house of 
Pastor Trocme, where she was serving as so-called domestic.",270,4
Vallorcine,Vallorcine,46.0167,6.9333,sadness,0.81,"they ordered a truck. And they brought us 
to the railway station in, whatever the place was. Vallorcine. Vallorcine 
was the station in the valley. And put us on a train. We were put into 
handcuffs and sent back to Rivesaltes.
The amazing thing was that the word got through to Chambon-sur-Lignon that we 
are in Rivesaltes.",306,5
Rivesaltes,Rivesaltes,42.793381,2.872301,sadness,0.94,"And they brought us 
to the railway station in, whatever the place was. Vallorcine. Vallorcine 
was the station in the valley. And put us on a train. We were put into 
handcuffs and sent back to Rivesaltes. 
The amazing thing was that the word got through to Chambon-sur-Lignon that we 
are in Rivesaltes. And none other than, first, Tracy Strong came. And I gave 
him my shoes, which were in total shambles, which he took with him. And I had 
a pair of rubber boots. No, that was before. I'm mixing it up. It's in my book. 
And he promised to get us some help. Shortly thereafter, Madam came to the camp 
in, in Rivesaltes. She was the chief of the Cimade in France.",522,5
Valence,Valence,44.9333,4.8924,fear,0.91,"Jean-Pierre, Pastor Trocme's 
son, and Marco Darcissac, the son of the schoolmaster, took me by bicycle all the way down the 
mountains to Valence, seventy kilometers! I was scared stiff! I had never gone down such steep 
mountains before on a bike. 
They left me with a lady in Valence. She took me to her brother, who was a pastor. I stayed for 
the whole weekend, and I even went to church with them!",420,2
Britain,United Kingdom,55.378051,-3.435973,surprise,0.83,"We're lucky because there's a shortwave radio in the house and we get news from Britain. It's in French, and we understand enough French now to know what they're saying. We think they're sending coded messages to the Resistance here in France. It's very exciting!",273,6
Annecy,Annecy,45.899247,6.129384,neutral,0.83,"I'm trying so hard not to laugh. I can't even smile, because then the German soldiers sitting on 
the train all around me will realize that I understand their jokes. I'm not supposed to understand 
German, I'm supposed to be a French Boy Scout just sitting here on the train going to Annecy. 
So I'd better not laugh at their jokes, even though they're really funny. 
I left Le Chambon for Switzerland right after getting my false papers.",388,4
Le Puy,Le Puy-en-Velay,45.0447,3.8851,fear,0.97,"They're starting the bus. They say they're taking us to Le Puy, which is where the Nazis are. I'm scared.
Age 17, February 1943, LePuy-en-Velay, France 
The gendarmes have interrogated me and so have the Germans. I'm really lucky. For some 
reason, they've decided to let me go.",337,2
LePuy-en-Velay,Le Puy-en-Velay,45.0437,3.8847,fear,0.93,"They're starting the bus. They say they're taking us to Le Puy, which is where the Nazis are. I'm 
scared.
Age 17, February 1943, LePuy-en-Velay, France 
The gendarmes have interrogated me and so have the Germans. I'm really lucky. For some 
reason, they've decided to let me go. But not Martin. There's nothing I can do.",324,2
Algiers,Algiers,36.7538,3.0588,joy,0.85,"Her husband is fighting the Germans with de Gaulle in Algiers. 
Maybe she can help me get out of France. 
I WENT TO MADAME PHILIP and I said, ""I would like to go to Algiers. I want to join de 
Gaulle. I want to fight."" But she said, ""No, you're going to Switzerland!"" 
Switzerland is a neutral country in the war, so Jews are safe from the Nazis there. Madame Philip 
sent me to Pastor Theis, and he made me up some false papers.",389,3
University of Lyon,University of Lyon,45.750404,4.854691,neutral,0.75,"who was also a professor of economics of the University of Lyon, he came one night, and he, OK, had a big chariot with with two wheels, bicycle wheels on it, of potatoes, which was illegal to, to buy and hoard 'em in France. So he came. He says, you better come to, we were just at the dinner table.",317,4
Toulouse,Toulouse,43.604652,1.444209,neutral,0.72,"we went on a train with a nice 
young lady. Her name was Hirsch. And she took us by train to Toulouse. 
We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people.",301,4
Europe,Europe,54.526,15.2551,sadness,0.89,"And it was the biggest tragedy of that time was to have those people 
who came from Eastern Europe and escaped to France. And France was the 
haven. I mean, they thought nothing could happen to them when they got to 
France. They didn't realize that they would be picked up there just as 
well as they could have been in Germany or in Hungary or in Romania or 
anywhere else. 
And they never talked the language. And they were, they were easy prey 
for the Germans because they themselves didn't have enough, enough 
knowledge of a language. And if they spoke the language a little, they 
had a terrible accent. So they were immediately denounced.",522,5
Camp de Gurs,Camp de Gurs,43.3384,-0.7431,neutral,0.7,"e camp, in Camp de Gurs, it was, it didn't really matter. So in, sometime in September of 1942, a woman came to see my parents. We visited, my mother came over to visit us. And we were told that somebody is coming from the OSE. I don't know if you heard about the OSE, which is Oeuvre de Secour aux Enfants. And she asked several people if they would like to send that, one of their children, if the child is young enough, to send them somewhere where they would be safe. And my mother and father said, I think we should. And I said I don't want to go out without my brother. And they said, oh, no. You gonna go. So",464,4
Lyon,Lyon,45.75,4.85,neutral,0.0,,0,4
Auschwitz,Auschwitz concentration camp,50.0359,19.1784,sadness,0.97,"We knew that it was critical, because at that time we knew already that my parents went to Drancy, and from Drancy to Auschwitz. We had known, because one of the girls who came out of Gurs with me, she went to visit her mother and saw my parents on the, in the, going onto the train to Drancy. Well, I cried. And I, I was besides myself. To lose my parents, that's, well, I didn't say, I wouldn't say lose. I, I, I didn't think they would be killed. But to don't know where my parents were, I was really besides myself, and so was my brother.",464,5
Alsace-Lorraine,Alsace-Lorraine,48.25,7.25,neutral,0.75,"He had to make sure that the swastika came off. My new name is Jacques Levet, and it says on my ID card that I was born in Alsace-Lorraine. That's close to the German border, so it might explain my German accent if I'm stopped. Pastor Theis says I can leave for Switzerland in a couple of days.",317,4
England,England,52.3555177,-1.1743197,neutral,0.75,"de Gaulle, who left France, in, under the 
Nazis' eyes of the airport in Lyon, and went to England, and from England 
to Algiers.  And the, his wife was really special to me, because she was 
like a mother to me. And I used to visit her almost every day. And, so one, 
but before Mr. Philip, who was also a professor of economics of the 
University of Lyon, he came one night, and he, OK, had a big chariot with 
with two wheels, bicycle wheels on it, of potatoes, which was illegal to, 
to buy and hoard 'em in France.",491,4
German border,German-French border,48.9984,7.9602,neutral,0.67,"French carte d'identite, identity card, and a Boy Scout identification card. He took the picture off my German identification card that had the big J for Jewish on it, and he put the photo on my new ID. He had to make sure that the swastika came off. My new name is Jacques Levet, and it says on my ID card that I was born in Alsace-Lorraine. That's close to the German border, so it might explain my German accent if I'm stopped.",466,4
Le Chambon-sur Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,sadness,0.94,"we stayed overnight. And then the next day, we went to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish people. 
So this is when you separated from your parents? 
That's right, and from my brother. 
It was not easy for me. It was very hard for them. They knew this might be it. And my brother was, I said to my brother when I left, I said, I'll see what I can do to get you out when I'm there. Just let me get my feet on the ground. So I was in,  we, so we got to this home from the Swiss Red Cross. And we, it was a very small house up in the Massif Central, in 
[FRENCH].",482,5
New York,New York City,40.7127753,-74.0059728,neutral,0.8,"which was organized by the Swiss Red Cross children's help, with a, and the one who was in charge was a man with the name of Auguste Bohny. Somebody, he was just last year, he was honored by the B'nai B'rith here in New York. And we, he started this carpenter shop. And we, my brother and I, brother and I, who also came to Le Chambon, after a short while, and we worked there.",403,4
French,France,46.603354,1.888334,sadness,0.63,"I found an Austrian with whom I get along well and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs. Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky! Friday, January 22, 1943 The UGIF now sends me three hundred francs every month. Mr. T. however takes them. Sunday, January 31, 1943 Again another month begins and I am still without news from you.",492,5
Grenoble,Grenoble,45.188529,5.724524,neutral,0.71,"And she took care of me for, for the weekend. And she took me to her brother, who 
was a pastor in another mountain village. And she took a, and then, it was a 
Monday she took us. She took me and another pastor who joined us there, took us 
to Grenoble, from Grenoble to Annecy. 
As a matter of fact, the French resistance in Le Chambon was very, very big too, 
which, but they had passive resistance there.",333,4
"Washington, DC","Washington, D.C.",38.89511,-77.03637,neutral,0.68,"These children are, to the left is Victor Atlas. I am next to him. And next to me is another Atlas. As it turns out, I don't remember his first name. Then Mademoiselle Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name.",456,4
Bayside,"Bayside, Queens, New York, USA",40.7637076,-73.7760773,neutral,0.62,"Her name is Feihan now. 
She lives in Washington, DC. The next one is, the other little girl is Hanne 
Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the 
fellow is Manfred, don't remember his last name. 
That we came.",313,4
