toponym,resolved_name,latitude,longitude,emotion,confidence_score,context,context_length,original_range,emotion_numeric
Camp de Gurs,Camp de Gurs,43.427626,-0.764247,neutral,0.69,"Well, this comes, the, in, in the camp, in Camp de Gurs, it was, it didn't really matter. So in, sometime in September of 1942, a woman came to see my parents. We visited, my mother came over to visit us. And we were told that somebody is coming from the OSE. I don't know if you heard about the OSE, which is Oeuvre de Secour aux Enfants. And she asked several people if they would like to send that, one of their children, if the child is young enough, to send them somewhere where they would be safe. And my mother and father said, I think we should. And I said I don't want to go out without my brother. And they said, oh, no. You gonna go. So",597,"[39176, 39188]",4
Le Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.5,"Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m.",385,"[1001, 2211]",4
Salvation Army,Salvation Army,48.870833,2.334444,neutral,0.57,"I'm on a farm run by the Salvation Army. There are other kids here, but 
I miss Martin an awful lot. I wonder where he is. I work in the kitchen, and do what I can to help 
out. The people here are nice and the food is good, but I just can't stay here any longer. 
Tomorrow I'm going to Madame Philip.",282,"[39508, 39522]",4
Auschwitz,Auschwitz concentration camp,50.0359,19.1783,sadness,0.98,"because at that time we 
knew already that my parents went to Drancy, and from Drancy to Auschwitz. 
We had known, because one of the girls who came out of Gurs with me, she went 
to visit her mother and saw my parents on the, in the, going onto the train to 
Drancy. 
Well, I cried. And I, I was besides myself. To lose my parents, that's, well, 
I didn't say, I wouldn't say lose. I, I, I didn't think they would be killed. 
But to don't know where my parents were, I was really besides myself, and so 
was my brother. So we didn't know what's next. What can we do next?",451,"[37816, 37825]",5
Gurs,Gurs internment camp,43.3249,-0.7465,sadness,0.94,"I found an Austrian with whom I get along well 
and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. 
His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where 
he has [contacts] and his father was released in one week! 
Lucky! Lucky! 
Friday, January 22, 1943 
The UGIF now sends me three hundred francs every month.",343,"[285, 289]",5
Le Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,joy,0.89,"Friday, January 15, 1943 
We were told that we'll have to get out in two or three days. When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night.",629,"[1001, 1011]",3
Swiss Red Cross,Swiss Red Cross,46.94809,7.44744,neutral,0.71,"and she took us by train to Toulouse. 
We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. 
So this is when you separated from your parents? 
That's right, and from my brother.",318,"[41039, 41054]",4
Spain,Spain,40.463667,-3.74922,neutral,0.82,"which was the home for students from all 
countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older. 
There were all denominations. And we were supposed to be able to 
continue to some extent the studies, to the extent that the faculty was 
available.",318,"[191, 196]",4
Annecy,Annecy,45.899247,6.129384,neutral,0.7,"I'm not supposed to understand 
German, I'm supposed to be a French Boy Scout just sitting here on the train going to Annecy. 
So I'd better not laugh at their jokes, even though they're really funny. 
I left Le Chambon for Switzerland right after getting my false papers.",274,"[28732, 28738]",4
Switzerland,Switzerland,46.8182,8.2275,fear,0.93,"from then, and my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple. We were hidden for a while in 
Chambon, and surrounding with mostly Protestant farmers, or, you know, 
summer resident people.",479,"[28340, 28351]",2
Switzerland,Switzerland,46.818188,8.227512,fear,0.93,"And we were affected in Chambon. 
Now I have described the happenings from then, and my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple. We were hidden for a while in 
Chambon, and surrounding with mostly Protestant farmers, or, you know, 
summer resident people.",495,"[41652, 41663]",2
Valence,"Valence, Drôme, France",44.9333,4.8924,fear,0.98,"Jean-Pierre, Pastor Trocme's 
son, and Marco Darcissac, the son of the schoolmaster, took me by bicycle all the way down the 
mountains to Valence, seventy kilometers! I was scared stiff! I had never gone down such steep 
mountains before on a bike. 
They left me with a lady in Valence. She took me to her brother, who was a pastor. I stayed for 
the whole weekend, and I even went to church with them!",418,"[28543, 28550]",2
"Washington, DC","Washington, D.C., United States",38.89511,-77.03637,neutral,0.61,"Mademoiselle Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the fellow is Manfred, don't remember his last name. That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter.",388,"[41410, 41424]",4
"Bayside, New York","Bayside, Queens, New York, USA",40.7644,-73.7766,neutral,0.82,"Then Mademoiselle 
Usach and the other one, the girl next to her is Lilli Brown. Her name is Feihan now. 
She lives in Washington, DC. The next one is, the other little girl is Hanne 
Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the 
fellow is Manfred, don't remember his last name. 
That we came.",266,"[44725, 45942]",4
Valence,"Valence, Drôme, Auvergne-Rhône-Alpes, France",44.9333,4.89236,fear,0.93,"Jean-Pierre, Pastor Trocme's son, and Marco Darcissac, the son of the schoolmaster, took me by bicycle all the way down the mountains to Valence, seventy kilometers! I was scared stiff! I had never gone down such steep mountains before on a bike. They left me with a lady in Valence. She took me to her brother, who was a pastor. I stayed for the whole weekend, and I even went to church with them!",386,"[28613, 28620]",2
Switzerland,Switzerland,46.7985624,8.2319736,fear,0.94,"Now I have described the happenings from then, and my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple. We were hidden for a while in 
Chambon, and surrounding with mostly Protestant farmers, or, you know, 
summer resident people.",520,"[28756, 28767]",2
France,France,46.603354,1.888334,neutral,0.7,"At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something wa",445,"[954, 960]",4
Swiss,Swiss Confederation (Switzerland),46.8182,8.2275,neutral,0.8,"and my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple. We were hidden for a while in 
Chambon, and surrounding with mostly Protestant farmers, or, you know, 
summer resident people. So it must have been summer, because it was summer 
residents were there.",590,"[28804, 28809]",4
Le Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.6,"Friday, January 15, 1943 
We were told that we'll have to get out in two or three days. When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m.",846,"[28325, 28335]",4
OSE,,0,0,neutral,0,,0,"[29269, 29272]",4
Alsace-Lorraine,Alsace-Lorraine,48.3167,7.5,neutral,0,"My new name is Jacques Levet, and it 
says on my ID card that I was born in Alsace-Lorraine. That's close to the German border, so it 
might explain my German accent if I'm stopped. Pastor Theis says I can leave for Switzerland in 
a couple of days.",246,"[39861, 39876]",4
France,France,46.603354,1.888334,neutral,0,,0,"[954, 2160]",4
Annecy,Annecy,45.899247,6.129384,neutral,0.8,"I'm trying so hard not to laugh. I can't even smile, because then the German soldiers sitting on the train all around me will realize that I understand their jokes. I'm not supposed to understand German, I'm supposed to be a French Boy Scout just sitting here on the train going to Annecy. So I'd better not laugh at their jokes, even though they're really funny.",370,"[28273, 28279]",4
Le Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.7,"France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
w",585,"[28428, 28438]",4
Toulouse,Toulouse,43.604652,1.444209,neutral,0.71,"they, they gathered us together, and we went on a train with a nice 
young lady. Her name was Hirsch. And she took us by train to Toulouse. 
We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. 
So this is when you separated from your parents? 
That's right, and from my brother.",430,"[29468, 29476]",4
Swiss Red Cross,Swiss Red Cross,46.8182,8.2275,neutral,0.7,"She took us by train to Toulouse. 
We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people.",244,"[29819, 29834]",4
Massif Central,Massif Central,45.5,3,neutral,0.77,"that Le Chambon was a most unique village in France. 
It is located at about 3,000 feet elevation in the Massif Central, in the 
central mountain chain in France. Sort of isolated on a desolate plateau, 
very cold in the winter, windswept plateau. Agriculture was pretty 
rudimentary. 
But what made this village unusual was that in the country, that is 90% 
or 95% Catholic, this village was about 90% Protestant. And the 
villagers, under the leadership of their pastor, Andre Trocme, were 
inspired to live the Bible. ",503,"[4275, 4290]",4
Le Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.5,"Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
went to sleep in the annex (I only s",495,"[1001, 1011]",4
Swiss Red Cross,Swiss Red Cross,46.94809,7.44744,neutral,0.77,"And she took us by train to Toulouse. 
We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. 
So this is when you separated from your parents? 
That's right, and from my brother.",375,"[29549, 29564]",4
Le Chambon-sur Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,sadness,0.91,"And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. 
So this is when you separated from your parents? 
That's right, and from my brother. 
It was not easy for me. It was very hard for them. They knew this might be 
it. And my brother was, I said to my brother when I left, I said, I'll see 
what I can do to get you out when I'm there. Just let me get my feet on 
the ground.",427,"[29629, 29650]",5
Swiss Red Cross,Swiss Red Cross,46.94809,7.44744,neutral,0.72,"We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. 
So this is when you separated from your parents? 
That's right, and from my brother. 
It was not easy for me.",316,"[30332, 30347]",4
Vichy,Vichy,46.1287,3.4264,neutral,0.62,"His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky! Friday, January 22, 1943 The UGIF now sends me three hundred francs every month. Mr. T. however takes them. Sunday, January 31, 1943 Again another month begins and I am still without news from you.",395,"[30059, 30064]",4
Vichy,Vichy,46.1287,3.4264,neutral,0.69,"His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky! Friday, January 22, 1943 The UGIF now sends me three hundred francs every month. Mr. T. however takes them. Sunday, January 31, 1943 Again another month begins and I am still without news from you.",427,"[30036, 30041]",4
Gurs,Gurs internment camp,43.256944,-0.723611,sadness,0.93,"I found an Austrian with whom I get along well 
and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. 
His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where 
he has [contacts] and his father was released in one week! 
Lucky! Lucky!",286,"[30768, 30772]",5
Camp de Gurs,Camp de Gurs,43.3226,-0.8267,neutral,0.83,"Well, this comes, the, in, in the camp, in Camp de Gurs, it was, it didn't really matter. So in, sometime in September of 1942, a woman came to see my parents. We visited, my mother came over to visit us. And we were told that somebody is coming from the OSE. I don't know if you heard about the OSE, which is Oeuvre de Secour aux Enfants. And she asked several people if they would like to send that, one of their children, if the child is young enough, to send them somewhere where they would be safe. And my mother and father said, I think we should. And I said I don't want to go out without my brother. And they said, oh, no. You gonna go. So",488,"[29012, 29025]",4
New York,New York City,40.7127281,-74.0060152,neutral,0.81,"which was organized by the Swiss Red Cross children's help, with a, and the one who was in charge was a man with the name of Auguste Bohny. Somebody, he was just last year, he was honored by the B'nai B'rith here in New York. And we, he started this carpenter shop. And we, my brother and I, brother and I, who also came to Le Chambon, after a short while, and we worked there.",395,"[30628, 30636]",4
Vichy,Vichy,46.1287,3.4264,neutral,0.66,"His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where 
he has [contacts] and his father was released in one week! 
Lucky! Lucky! 
Friday, January 22, 1943 
The UGIF now sends me three hundred francs every month. Mr. T. however takes them. 
Sunday, January 31, 1943 
Again another month begins and I am still without news from you.",368,"[30820, 30825]",4
Le Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.5,"Friday, January 15, 1943 
We were told that we'll have to get out in two or three days. When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
went to sleep in the annex",745,"[1001, 2211]",4
Swiss Red Cross,Swiss Red Cross,46.94809,7.44744,neutral,0.71,"We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. ",244,"[30170, 30185]",4
Camp de Gurs,Camp de Gurs,43.3531,-0.7999,neutral,0.6,"the camp, in Camp de Gurs, it was, it 
didn't really matter. So in, sometime in September of 1942, a woman came 
to see my parents. We visited, my mother came over to visit us. And we 
were told that somebody is coming from the OSE. I don't know if you heard 
about the OSE, which is Oeuvre de Secour aux Enfants. And she asked 
several people if they would like to send that, one of their children, 
if the child is young enough, to send them somewhere where they would be 
safe. And my mother and father said, I think we should. And I said I don't 
want to go out without my brother. And they said, oh, no. You gonna go. So",454,"[30258, 30271]",4
Vichy regime,Vichy regime,46.130018,3.424584,neutral,0.63,"people who were with the Vichy regime. And they knew I was Jewish. But this fellow was with the, somehow he had something to do with the Vichy regime, but he was not anti-Jewish. And he said to me, I'll do anything I can to get your parents out. And it was maybe a week or two just before they were deported. They, they were supposed to come about two weeks after to Le Chambon.",349,"[34270, 35482]",4
France,France,46.603354,1.888334,neutral,0.73,"When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice).",613,"[954, 960]",4
Swiss Red Cross,Swiss Red Cross,46.8182,8.2275,neutral,0.78,"Her name was Hirsch. And she took us by train to Toulouse. 
We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. 
So this is when you separated from your parents? 
That's right, and from my brother. 
It was not easy for me. It was very hard for them. They knew this might be 
it.",402,"[31595, 31610]",4
Vichy regime,Vichy France,46.1287,3.4236,neutral,0.73,"Well, I had, I had, I knew, I know, knew quite a few people, including some people who were with the Vichy regime. And they knew I was Jewish. But this fellow was with the, somehow he had something to do with the Vichy regime, but he was not anti-Jewish. 
And he said to me, I'll do anything I can to get your parents out. And it was maybe a week or two just before they were deported. They, they were supposed to come about two weeks after to Le Chambon. Yes. Well they were deported on August 1943, I believe it was.",422,"[30872, 30884]",4
Swiss,Switzerland,46.8182,8.2275,fear,0.91,"and my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple. We were hidden for a while in 
Chambon, and surrounding with mostly Protestant farmers, or, you know, 
summer resident people.",433,"[32142, 32147]",2
Swiss Red Cross,International Committee of the Red Cross (Switzerland),46.2044,6.1432,neutral,0.64,"We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people.",230,"[31488, 31503]",4
Swiss Red Cross,Swiss Red Cross,46.94809,7.44744,neutral,0.73,"Her name was Hirsch. And she took us by train to Toulouse. 
We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. 
So this is when you separated from your parents? 
That's right, and from my brother. 
It was not easy for me. It was very hard for them. They knew this might be 
it. And my brother was, I said to my brother when I left, I said, I'll see 
what I can do to get you out when I'm there. Just let me get my feet on 
the ground. So I was in,  we, so we got to this home from the Swiss Red 
Cross. And we, it was a very small house up in the Mass",537,"[30400, 31615]",4
